z,Snapshot,SubhaloID,"M,M_{\odot}","$M_{gas},M_{\odot}$","$M_{stellar},M_{\odot}$","$M_{DM},M_{\odot}$",SFR($M_{\odot}/yr$),$V_{max}$(km/s),$R_{max}$(kpc),$\sigma_v$(km/s),$R_{1/2M_*}(kpc)$
0.034,96,775306,1346704600.0,153234300.0,189783620.0,1003686660.0,0.069394566,62.76382,8.385463,34.405247,0.94453603
0.034,96,775503,1044329340.0,69945340.0,128600936.0,845783000.0,0.01907019,52.606,5.8573647,30.819939,0.9350784
0.034,96,775541,3384695000.0,241435580.0,385843070.0,2757416000.0,0.06147659,68.66706,10.651678,37.244633,1.6830469
0.034,96,775775,1337923600.0,111819180.0,163884350.0,1062219900.0,0.04018457,62.23192,10.362583,33.75051,0.9787788
0.034,96,775850,1943472800.0,115925580.0,223554130.0,1603993100.0,0.04218073,60.903587,10.15741,32.987576,1.2828726
0.034,96,776064,1912841300.0,224074800.0,285329380.0,1403437200.0,0.07176923,61.90666,15.508883,33.570442,1.2821728
0.034,96,776092,2443203600.0,122769970.0,241368460.0,2079065200.0,0.015713243,67.898766,8.241033,35.23911,1.3304765
0.034,96,776177,1053342600.0,81069830.0,180485620.0,791787200.0,0.059935383,64.453224,12.495839,34.101597,0.83555776
0.034,96,776201,1432643300.0,74455300.0,179809010.0,1178379100.0,0.024957845,61.816307,10.32634,32.99602,1.0393192
0.034,96,776416,1737441900.0,169863020.0,284838140.0,1282740600.0,0.051372174,62.331482,16.579992,34.2857,1.2624229
0.034,96,776468,2424875300.0,244038500.0,266027540.0,1914809200.0,0.10052696,60.59813,11.1538,31.553782,1.5903361
0.034,96,776518,1811564500.0,59283828.0,187763580.0,1564517100.0,0.035798226,64.94228,7.210685,35.019756,1.1241782
0.034,96,776540,2002543600.0,214833070.0,273105600.0,1514604900.0,0.060863495,63.023514,11.834948,33.23102,1.3721502
0.034,96,776740,1212265600.0,63181056.0,230702220.0,918382460.0,0.039621376,63.485817,12.813818,33.170155,1.0154288
0.034,96,776928,1541435500.0,93010024.0,190640860.0,1257784600.0,0.03699977,61.081055,15.7043085,33.026997,1.2337127
0.034,96,777489,3794662700.0,220994620.0,516059400.0,3055981000.0,0.03773146,62.35645,9.352866,33.177177,2.1911998
0.034,96,777504,1939995800.0,135511230.0,234522540.0,1569962100.0,0.046230223,67.296234,9.940534,35.194965,1.0878216
0.034,96,777527,1071876030.0,82117670.0,185266240.0,804492100.0,0.051327582,63.66654,15.552769,36.121098,0.8479805
0.034,96,777573,1680544800.0,136171260.0,209452060.0,1334921500.0,0.033113357,64.44325,14.793392,34.47723,1.2350532
0.034,96,777602,3857189600.0,236000200.0,535714720.0,3085474300.0,0.07505494,70.569496,9.59443,36.86729,1.9625788
0.034,96,777753,2388737300.0,238928370.0,303968900.0,1845839700.0,0.07995991,67.6364,7.6622186,35.204903,1.3172265
0.034,96,777783,1284660600.0,85553620.0,184984080.0,1014122900.0,0.046346273,63.64688,13.882645,33.549664,0.99402165
0.034,96,777886,2016839000.0,55196624.0,277336320.0,1684306000.0,0.029626474,68.04428,7.602038,35.6244,1.1124812
0.034,96,777956,1577265800.0,149447600.0,265320320.0,1162497900.0,0.053011227,62.509388,10.381093,33.66488,1.0789675
0.034,96,778046,1696234800.0,140435300.0,239935280.0,1315864200.0,0.028148312,56.53537,16.161503,30.985796,1.4977435
0.034,96,778069,1180815900.0,64338990.0,179037120.0,937439740.0,0.029745571,63.622322,13.346766,35.318863,0.94374543
0.034,96,778273,1722496300.0,139707730.0,227902220.0,1354886400.0,0.033217568,61.410267,14.404263,33.545876,1.29666
0.034,96,778369,893198800.0,78668424.0,128012280.0,686518100.0,0.033760473,61.413883,9.6917095,32.36188,0.73338825
0.034,96,778527,2434316500.0,133357380.0,346674020.0,1954285000.0,0.08851356,67.04781,11.778908,35.324085,1.3423287
0.034,96,778538,680009540.0,64733670.0,100727680.0,514548300.0,0.044733997,55.926426,11.444366,29.30253,0.6740022
0.034,96,778616,1364726500.0,86548250.0,168314910.0,1109863300.0,0.017475683,65.66084,13.173227,34.52831,1.0896666
0.034,96,778731,830981440.0,55102430.0,152431630.0,623447360.0,0.03980579,61.70749,12.093172,33.07827,0.7098491
0.034,96,778879,1466621400.0,89052850.0,153814880.0,1223753700.0,0.044199303,64.421005,17.060934,34.115124,1.1121086
0.034,96,778972,1122270800.0,96556140.0,152707040.0,873007740.0,0.030271394,59.623936,12.596873,32.165207,0.94175065
0.034,96,779001,1666215600.0,121998060.0,268736740.0,1275480700.0,0.023985801,65.34688,12.53405,35.163822,1.2002242
0.034,96,779191,983300700.0,76218140.0,131176410.0,775906100.0,0.044506397,63.91467,12.5926285,33.891773,0.9215733
0.034,96,779291,2196242400.0,214587520.0,298709820.0,1682944900.0,0.062408138,64.40489,13.134873,34.341908,1.3862257
0.034,96,779460,1034073800.0,106017976.0,183458200.0,744597570.0,0.043858223,58.497417,10.384596,30.75337,0.89297086
0.034,96,779583,2063240400.0,110656290.0,197039840.0,1755544200.0,0.029657057,65.3032,8.189804,34.149265,1.2612221
0.034,96,779619,1697763300.0,170316930.0,206137380.0,1321309000.0,0.057396963,62.36337,5.6076903,32.97124,1.0865595
0.034,96,779671,1197366700.0,91571730.0,150659170.0,955135900.0,0.03766263,60.75154,5.0562057,32.38477,0.8525519
0.034,96,780015,1660561800.0,166445680.0,237692660.0,1256423400.0,0.044632483,58.18395,11.626762,30.850277,1.341099
0.034,96,780354,1286110200.0,82341120.0,152439070.0,1051330000.0,0.062181845,66.94136,11.398212,36.11862,0.89476866
0.034,96,780461,1074611800.0,82782240.0,143324130.0,848505500.0,0.047438987,60.780125,15.266563,31.985792,0.94388807
0.034,96,780556,1682558000.0,184560820.0,242481280.0,1255515900.0,0.059672862,60.702995,12.927199,32.455082,1.2798797
0.034,96,780607,1498807900.0,108639000.0,178212750.0,1211956400.0,0.028840607,64.131744,15.143522,34.673794,1.1709802
0.034,96,780623,1900916100.0,159030270.0,257228180.0,1484657800.0,0.043247394,66.83193,6.4416943,35.525978,1.1341504
0.034,96,780647,498062720.0,49767988.0,100271360.0,348023360.0,0.03243586,61.070385,12.5058565,32.230434,0.54766005
0.034,96,780668,1465471100.0,78292290.0,143914160.0,1243264800.0,0.021005835,66.08748,8.533973,35.181797,0.914097
0.034,96,780800,1363343500.0,76003816.0,149797870.0,1137541900.0,0.020893348,59.28369,11.2915945,32.045467,1.0479182
0.034,96,781205,1722676700.0,172455420.0,230727140.0,1319494000.0,0.041686833,58.3945,16.141685,31.905827,1.3320773
