,z,Snapshot,SubhaloID,"M,M_{\odot}","$M_{gas},M_{\odot}$","$M_{stellar},M_{\odot}$","$M_{DM},M_{\odot}$",SFR($M_{\odot}/yr$),$V_{max}$(km/s),$R_{max}$(kpc),$\sigma_v$(km/s),$R_{1/2M_*}(kpc)$
1,2.577,28,2,61259993000.0,7935195000.0,15507631000.0,37794340000.0,8.650032,209.31804,4.8653016,113.94124,3.0660717
121,2.577,28,28820,21584420000.0,3255236600.0,1987258000.0,16338041000.0,2.126416,129.81786,9.207673,73.514435,2.8629484
162,2.577,28,37466,25436217000.0,5044134400.0,7123143000.0,13247576000.0,20.451208,203.41402,0.85148615,128.71553,1.338339
426,2.577,28,88963,39902020000.0,4193725000.0,17967763000.0,17696560000.0,15.76069,289.28894,0.55237186,126.8124,1.2426413
500,2.577,28,101003,54674630000.0,11761295000.0,5347160600.0,37559300000.0,11.973851,174.07654,39.208004,112.61971,4.280669
645,2.577,28,121058,1925149400.0,255743330.0,282757700.0,1386648600.0,0.16663854,63.35824,2.206227,38.37882,1.0370513
651,2.577,28,122033,26885770000.0,3908508000.0,12185489000.0,10758323000.0,17.350027,253.02272,0.8281428,129.27066,0.9784583
966,2.577,28,159997,44352270000.0,8518362000.0,8667036000.0,27154442000.0,11.851128,184.80804,5.214389,105.84212,2.7988462
973,2.577,28,161336,18406666000.0,3680800000.0,4382976500.0,10334979000.0,8.21996,169.09682,28.54949,102.95413,1.5173957
982,2.577,28,162599,13603538000.0,2736904000.0,3029225700.0,7831660500.0,4.6669593,166.3814,19.555504,104.441376,1.4339069
1104,2.577,28,174695,33192720000.0,5088567000.0,2387842000.0,25712437000.0,4.2651815,149.91554,16.836237,91.613976,3.291568
1143,2.577,28,179005,26032232000.0,5282773000.0,2659510800.0,18086779000.0,5.100045,150.37195,24.321922,91.016235,2.8441205
1381,2.577,28,203818,12744728000.0,1689219800.0,872470600.0,10180705000.0,1.1382554,112.96622,19.279234,63.202404,2.2771828
1875,2.577,28,247408,3749415700.0,399405220.0,254099440.0,3095910700.0,0.17752364,88.83511,7.3399177,53.36936,1.2847383
