,z,Snapshot,SubhaloID,"M,M_{\odot}","$M_{gas},M_{\odot}$","$M_{stellar},M_{\odot}$","$M_{DM},M_{\odot}$",SFR($M_{\odot}/yr$),$V_{max}$(km/s),$R_{max}$(kpc),$\sigma_v$(km/s),$R_{1/2M_*}(kpc)$
154,0.461,69,134221,13145267000.0,1174800800.0,3736500000.0,8217345500.0,0.54625195,107.699196,3.4199321,56.99224,2.4973927
429,0.461,69,257359,1652536600.0,73291310.0,157204500.0,1422040800.0,0.017806599,54.17354,7.034619,31.423428,1.4371461
1461,0.461,69,491928,3442784000.0,358160500.0,938857400.0,2145766300.0,0.22699356,78.68193,2.3228123,46.328457,1.1987226
2000,0.461,69,548211,2623194600.0,212558110.0,202707180.0,2207929300.0,0.051119212,74.720764,17.797426,42.083076,1.6781818
2477,0.461,69,581943,11098888000.0,1171733600.0,548949600.0,9374397000.0,0.23298591,85.681755,15.734417,47.863457,3.6103215
2548,0.461,69,586827,16679227000.0,994616770.0,3328549600.0,12341445000.0,0.34453622,116.45549,7.249604,62.915955,2.6684842
2690,0.461,69,595405,1451076900.0,99703976.0,119451760.0,1231921000.0,0.027314976,61.54402,5.537727,35.154217,1.026033
2875,0.461,69,606117,4836216000.0,657693760.0,285379200.0,3893142800.0,0.15262553,80.41838,31.938694,46.811386,2.4725707
3722,0.461,69,648053,5965951500.0,635679800.0,435710940.0,4894561000.0,0.21671534,74.67396,11.798517,40.178658,2.5452113
3776,0.461,69,650904,2560038000.0,175733040.0,323389250.0,2060915500.0,0.054776777,73.109184,17.65351,39.99179,1.4555331
3803,0.461,69,652102,2759679200.0,133233790.0,377948640.0,2246044000.0,0.14163098,77.52551,6.682809,41.494186,1.0632634
4123,0.461,69,665635,3722292200.0,245924640.0,270650080.0,3205717500.0,0.061072003,73.05481,15.203389,39.344498,2.1638684
4151,0.461,69,666957,1969161600.0,152521860.0,154113400.0,1662526300.0,0.044690542,68.33315,15.216727,37.619278,1.450808
5685,0.482,68,282079,42973266000.0,3531444000.0,12489636000.0,26911690000.0,2.278643,163.34792,1.7701921,92.39232,3.5883288
5786,0.482,68,311638,4619740000.0,360247580.0,995640800.0,3255629600.0,0.16896226,82.411415,2.4337373,46.40016,1.4684318
6535,0.482,68,470384,43168743000.0,1734913400.0,13916778000.0,27435313000.0,0.71142095,177.683,1.1626995,85.37926,3.1780374
7362,0.482,68,555857,15890962000.0,1519603700.0,1995844500.0,12370938000.0,1.08288,110.29767,15.425337,63.515907,2.864001
8245,0.482,68,611116,2410070500.0,135984160.0,243979860.0,2028245800.0,0.027341837,70.05038,16.427256,39.089066,1.3772928
8418,0.482,68,620120,1378611500.0,64022480.0,106387520.0,1206965000.0,0.030835873,60.408623,17.302334,33.953293,1.0739398
9211,0.482,68,656212,1741593600.0,89714930.0,285194900.0,1366683800.0,0.084371544,73.01493,16.401863,39.7985,0.99170136
9837,0.482,68,683591,1123254800.0,115050610.0,126121490.0,882082700.0,0.030652644,55.66355,11.838707,31.87292,1.091204
11076,0.503,67,319750,4194954200.0,210530000.0,639223200.0,3340480000.0,0.07832706,81.58045,6.3062544,48.520058,1.4917837
14450,0.503,67,653401,3579702300.0,465657820.0,653378370.0,2460665900.0,0.24619725,80.057205,4.187739,41.412292,1.2849873
16228,0.525,66,284058,1596227000.0,96570344.0,115385300.0,1383018600.0,0.041182213,61.684807,14.494338,34.771748,1.3047009
17188,0.525,66,480611,20790223000.0,1975370000.0,8178363400.0,10600419000.0,2.0454044,157.10414,2.308935,80.05771,1.8709581
17284,0.525,66,494596,1418808300.0,74756136.0,225567710.0,1118484500.0,0.029926512,65.8295,5.2353826,38.334675,0.78141767
17753,0.525,66,539908,14326778000.0,1444299400.0,2173473500.0,10698429000.0,0.80347526,115.8696,9.019477,64.03995,2.4479344
18321,0.525,66,580201,11092676000.0,931169000.0,1464965500.0,8688333000.0,0.30179656,99.71093,11.583728,55.814686,2.592933
18415,0.525,66,585459,2994075600.0,244354820.0,165635730.0,2584085000.0,0.051054716,63.754795,10.64945,35.4284,1.8354797
19124,0.525,66,622729,4480952000.0,420430460.0,591813100.0,3466167600.0,0.17103238,78.29159,13.093396,43.84587,1.6963357
20133,0.525,66,666260,3204970000.0,361892900.0,163251920.0,2679825400.0,0.060485452,67.758965,12.390904,37.40095,2.128567
21213,0.546,65,150960,5403450400.0,441890530.0,775296830.0,4186262800.0,0.12828165,70.22421,3.7659035,38.549202,2.389021
21733,0.546,65,329554,7452453400.0,827592450.0,704379460.0,5920481300.0,0.34461775,82.178696,3.9091957,46.385387,2.4006836
