,z,Snapshot,SubhaloID,"M,M_{\odot}","$M_{gas},M_{\odot}$","$M_{stellar},M_{\odot}$","$M_{DM},M_{\odot}$",SFR($M_{\odot}/yr$),$V_{max}$(km/s),$R_{max}$(kpc),$\sigma_v$(km/s),$R_{1/2M_*}(kpc)$
1125,1.074,48,353432,10665322000.0,1858541400.0,2925655300.0,5868300300.0,2.510025,136.17255,2.647592,71.34954,1.2393453
1836,1.074,48,434651,23823163000.0,2894248200.0,3520477400.0,17397539000.0,1.5477964,131.34358,13.299197,74.20829,3.1284177
2870,1.074,48,514368,3344642300.0,303311940.0,216306050.0,2825024000.0,0.044076506,58.239212,6.1649556,34.66462,2.2116854
3094,1.074,48,528109,4940190700.0,412757760.0,310676860.0,4214849300.0,0.18472524,87.24328,15.612997,52.00868,1.6195583
3503,1.074,48,553979,5375176000.0,484247870.0,590205000.0,4299246000.0,0.19660972,88.05231,9.368572,51.589077,1.6796911
3728,1.074,48,566678,6227699700.0,473324600.0,338459550.0,5415915000.0,0.12241037,84.891685,13.601757,47.266853,2.3801503
3772,1.074,48,568878,2104918400.0,168352510.0,236655680.0,1698372200.0,0.06688563,77.82916,15.267037,46.723423,1.2154887
4303,1.074,48,596456,2023031700.0,131295270.0,175668210.0,1716068200.0,0.054407563,73.78934,9.906557,41.360817,1.0696949
5496,1.114,47,194480,149308050000.0,10392787000.0,39088890000.0,99721630000.0,8.01093,286.42023,0.45338905,149.57047,5.706356
6237,1.114,47,350089,839056200.0,69705990.0,101435710.0,667914430.0,0.031396575,49.699226,1.7583121,29.77728,0.75457335
6310,1.114,47,360837,12919487000.0,1424186500.0,4060592400.0,7421020700.0,1.3364819,129.47623,3.311613,73.15146,1.6581615
6840,1.114,47,421309,41829126000.0,5158204400.0,5496705500.0,31165106000.0,1.5209932,139.32733,13.1364355,75.68719,4.7433333
6899,1.114,47,426652,23957166000.0,4544433700.0,4073616400.0,15332086000.0,3.8167746,124.25975,10.032767,71.66115,3.3515384
7040,1.114,47,439323,9875032000.0,940837300.0,1021581000.0,7907889000.0,0.39402464,100.2213,6.086328,55.985832,2.1573443
7381,1.114,47,466694,12377794000.0,1289884400.0,4416134700.0,6657818600.0,1.2712361,133.85144,3.110389,67.207,1.4888139
7437,1.114,47,471122,11249355000.0,1340723700.0,1440239900.0,8464182300.0,0.5387405,101.292435,8.437206,55.618057,2.5202417
7465,1.114,47,473071,6061177000.0,465790100.0,991115800.0,4601441000.0,0.20328562,95.43067,5.1845393,51.290092,1.5403701
7953,1.114,47,507817,2910362000.0,362059140.0,144809230.0,2403494100.0,0.07605329,74.57725,47.37987,50.44101,1.7621366
8327,1.114,47,530975,6534259700.0,441979520.0,502557220.0,5586523600.0,0.09172568,93.1161,18.627245,54.643677,2.100942
8375,1.114,47,534117,10606650000.0,903576450.0,420669150.0,9279564000.0,0.22993673,88.76851,16.75366,51.409466,3.102536
8508,1.114,47,542576,4554198500.0,373365220.0,204288060.0,3975270700.0,0.07114086,76.07932,13.796527,44.66664,2.17486
9174,1.114,47,579103,3779195000.0,306073500.0,353162300.0,3119959300.0,0.10245286,80.800705,8.418999,44.37369,1.5705836
9868,1.114,47,617881,5734209000.0,581565400.0,164610860.0,4988032500.0,0.076631635,68.623695,11.66528,37.330635,2.9113111
10044,1.114,47,635160,1699946000.0,101282180.0,108107496.0,1490556400.0,0.029161075,65.94607,6.547519,37.363857,1.0467459
10360,1.155,46,77988,7013762000.0,995764900.0,448262240.0,5569735000.0,0.33456233,80.74376,7.9193783,49.92431,2.4878962
10665,1.155,46,193092,3290058800.0,411232830.0,655923000.0,2222903000.0,0.37404618,89.73064,5.0688486,55.26479,0.99451107
10754,1.155,46,217300,76173840000.0,3222028300.0,37271440000.0,35521524000.0,3.1248796,359.5381,0.61154085,160.07016,2.6567407
11852,1.155,46,399966,10719771000.0,1428601100.0,1886676400.0,7398333000.0,1.1494695,127.645485,21.765308,74.265144,2.1488283
12204,1.155,46,433516,13305163000.0,2169061000.0,2867186400.0,8258636000.0,1.7851843,119.52981,4.83283,66.31463,2.0234656
12251,1.155,46,437667,2676425000.0,358282370.0,113389384.0,2204753200.0,0.046268616,57.375134,7.2305794,34.691406,2.0750988
12513,1.155,46,458432,8821656000.0,1542046300.0,1652794900.0,5621008400.0,1.2374729,106.449234,10.86453,61.041885,1.7480351
13751,1.155,46,540638,4506255000.0,534368930.0,531115970.0,3439396600.0,0.2784441,88.69447,20.305052,53.802475,1.7619746
15894,1.206,45,200084,3302429200.0,383161100.0,184085800.0,2735182600.0,0.17204264,63.24856,5.4735317,40.979782,1.8288683
16157,1.206,45,264050,4295979500.0,773363100.0,674136960.0,2845442600.0,0.28613606,66.01384,6.711328,39.633595,2.2229602
16338,1.206,45,297418,2889919500.0,285066500.0,333399070.0,2271453700.0,0.13512829,73.03152,7.79604,40.580708,1.3057607
16410,1.206,45,310167,10191389000.0,1087561700.0,708351040.0,8392490500.0,0.29667813,100.21571,12.763019,60.11791,2.5112436
16558,1.206,45,332494,4748364000.0,797816300.0,722322900.0,3224774700.0,0.85505354,80.58433,1.8575007,49.06967,1.6074005
16837,1.206,45,367859,31104295000.0,3800422100.0,11163618000.0,16119789000.0,4.937754,170.95183,3.8288658,87.55938,2.3116446
16916,1.206,45,377537,42970360000.0,6166936000.0,3579906000.0,33215588000.0,1.5133029,131.39284,18.164042,75.45414,5.627432
16922,1.206,45,378049,37006303000.0,6765440000.0,3689886200.0,26542795000.0,3.0715144,133.3023,12.480563,75.8399,4.5472083
17039,1.206,45,390733,12503674000.0,1218673500.0,2937671200.0,8333049300.0,1.4466002,132.63625,15.484428,78.43111,1.66453
17050,1.206,45,391911,2690377200.0,196804260.0,117303730.0,2376269300.0,0.05453973,66.69573,8.8637495,41.436516,1.5290223
17129,1.206,45,399526,21009111000.0,2894407200.0,2664596500.0,15442800000.0,1.9711146,128.29436,14.159044,73.501335,3.0759528
18006,1.206,45,469542,6687367000.0,1132524000.0,875964400.0,4677670400.0,0.4652504,85.41723,6.1937966,46.984642,2.0714633
18049,1.206,45,472447,2545384700.0,340359970.0,179328510.0,2024162000.0,0.12943992,78.557594,30.254541,49.60935,1.4741436
18215,1.206,45,484235,9065081000.0,1069631500.0,579720060.0,7412852000.0,0.45777684,96.663025,13.813082,54.155586,2.335039
18351,1.206,45,493354,4512673300.0,275809280.0,438493250.0,3795587300.0,0.082158126,89.34613,14.110925,50.46879,1.7068516
18435,1.206,45,498420,3872375000.0,276009760.0,590177150.0,3002892800.0,0.18005538,98.29845,11.924423,57.133316,1.0137863
18642,1.206,45,511256,2332081000.0,172477600.0,210111870.0,1947932700.0,0.070447065,76.87775,16.855406,47.31292,1.2176121
18701,1.206,45,515317,4938433000.0,753285700.0,637191550.0,3545573000.0,0.52507675,90.11876,9.307952,52.230007,1.3923655
18720,1.206,45,516718,8736778000.0,932572100.0,221645680.0,7580738000.0,0.22809103,86.582664,14.213814,50.636765,2.8597586
19468,1.206,45,558633,2566785000.0,169554700.0,131221460.0,2266008800.0,0.05539961,73.1858,12.80212,42.02804,1.4535676
19983,1.206,45,586666,3971409200.0,278494800.0,191808640.0,3501106200.0,0.05880011,72.994156,12.074081,41.50421,1.8996998
20520,1.206,45,636190,2055644700.0,223241890.0,109074560.0,1723328300.0,0.045658376,61.883907,17.99008,37.338715,1.65422
20788,1.248,44,93327,12937161000.0,1527169900.0,1612867100.0,9792298000.0,0.76530427,96.38408,4.9295645,54.321064,3.0202887
21061,1.248,44,190292,127686590000.0,8943294000.0,55269675000.0,63266296000.0,7.9667683,339.25656,0.5616486,147.57,3.229614
21080,1.248,44,196643,12940283000.0,1917690600.0,3249400000.0,7759515000.0,2.0364976,127.09493,4.256673,74.544395,1.7279681
21967,1.248,44,354178,4381063700.0,756874560.0,402302900.0,3219783400.0,0.527739,76.13061,2.9465091,46.274204,1.6391515
22570,1.248,44,416749,24357500000.0,4183288800.0,2423286800.0,17744654000.0,2.30382,125.30512,16.350555,71.482635,3.4267282
22654,1.248,44,423911,6357035500.0,685103700.0,405843700.0,5264364000.0,0.21526588,79.88905,9.344714,49.25643,2.3835788
