,z,Snapshot,SubhaloID,"M,M_{\odot}","$M_{gas},M_{\odot}$","$M_{stellar},M_{\odot}$","$M_{DM},M_{\odot}$",SFR($M_{\odot}/yr$),$V_{max}$(km/s),$R_{max}$(kpc),$\sigma_v$(km/s),$R_{1/2M_*}(kpc)$
420,1.496,40,140125,20376201000.0,2441377500.0,666160960.0,17266405000.0,0.43628117,99.34981,14.093435,57.07351,4.6754613
989,1.496,40,242135,49866637000.0,3109474000.0,27346151000.0,19256990000.0,12.497281,324.9352,0.4633598,128.83054,1.4882345
1044,1.496,40,250546,10668933000.0,1863849100.0,270910880.0,8532697600.0,0.43446904,91.832794,16.923452,59.713646,3.4253893
1884,1.496,40,349588,17427306000.0,2284074200.0,5676458000.0,9445182000.0,5.5357203,172.4216,2.1722782,96.04855,1.270251
2012,1.496,40,361373,3503522600.0,331503500.0,230835940.0,2941183200.0,0.12793475,68.001755,4.986445,40.24848,1.7043647
2260,1.496,40,384674,14421745000.0,1730005200.0,1062046400.0,11626340000.0,0.7266374,117.118835,11.826753,64.73906,2.762245
2424,1.496,40,397859,15867089000.0,2871293000.0,1824021500.0,11167149000.0,1.5473541,118.14822,21.86289,70.114586,2.7582777
2569,1.496,40,408858,7733179000.0,1046876900.0,313703230.0,6370597400.0,0.25428563,92.812386,20.313305,54.90143,2.8744614
2626,1.496,40,413124,14462723000.0,1913402200.0,2010131700.0,10531450000.0,1.315421,121.95351,7.7580976,68.82288,2.1576169
2762,1.496,40,422945,5208078300.0,439778660.0,113310120.0,4653622000.0,0.078070134,71.149765,14.011157,44.067295,2.8581977
2996,1.496,40,439305,9789809000.0,1545167000.0,718524100.0,7523567000.0,0.62157,105.42457,16.683344,61.618637,2.392463
3110,1.496,40,447228,3837122600.0,420085980.0,331840220.0,3082752000.0,0.17116229,91.16509,35.94514,54.655205,1.5658569
3466,1.496,40,469586,6069203500.0,524860960.0,1273553800.0,4267029500.0,0.33468845,104.725426,10.271617,58.197388,1.3392811
4108,1.496,40,506512,3381171200.0,206205920.0,173884800.0,2999716600.0,0.067845106,78.49861,18.372042,46.793102,1.492008
4249,1.496,40,513879,4602119000.0,532119740.0,649660000.0,3420339200.0,0.33196908,94.501144,8.558885,52.944687,1.255058
4484,1.496,40,526900,14513724000.0,1223003800.0,110299290.0,13180420000.0,0.07162006,75.676735,15.115027,46.447166,5.6499214
4895,1.496,40,549061,2661178000.0,284870460.0,162933490.0,2213374200.0,0.12848885,70.29711,10.58562,40.218758,1.4004033
5187,1.496,40,569459,1926568300.0,190636640.0,120141400.0,1615790500.0,0.07063061,66.68187,14.335566,38.863308,1.2342397
5641,1.531,39,15225,14213323000.0,1822290600.0,3129006600.0,9247348000.0,2.013832,137.29112,5.7287855,74.47406,1.6895558
6236,1.531,39,223540,10574109000.0,1523083300.0,719473540.0,8328965600.0,0.70492095,113.79528,20.28864,70.69568,2.5385878
7474,1.531,39,392340,2019394700.0,295414560.0,187419330.0,1535023600.0,0.10604428,65.805374,14.716179,39.212444,1.3490072
7560,1.531,39,400107,6237249000.0,616776960.0,2743671000.0,2859509000.0,1.5436825,150.55219,0.76691645,72.87295,0.6283875
7577,1.531,39,401547,9553194000.0,1403108000.0,744946940.0,7405139000.0,0.59953964,103.99067,37.077293,61.046368,2.5712252
8153,1.531,39,452224,6647198000.0,603437760.0,260205070.0,5782088700.0,0.13200398,95.69955,30.097116,61.824093,2.7933006
8329,1.531,39,468106,7031834000.0,973379100.0,416486620.0,5640519700.0,0.4499836,88.33598,9.714459,50.648514,2.1456587
8952,1.531,39,519930,3699731500.0,598418000.0,367038300.0,2734274800.0,0.2486234,74.412254,22.488262,42.690563,1.6970949
8990,1.531,39,523898,3102069500.0,343975840.0,145422600.0,2612671000.0,0.09844744,80.69725,24.191448,49.2883,1.5704845
9712,1.604,38,121218,1743265900.0,158963230.0,1415962800.0,168339860.0,2.175845,162.69902,0.21354997,48.040886,0.15679695
9744,1.604,38,133952,4596706000.0,633492200.0,451217540.0,3511996200.0,0.247318,77.12682,9.290528,45.52373,1.7792256
9747,1.604,38,135112,29859572000.0,5822365700.0,2368504600.0,21664570000.0,2.6211808,125.6843,8.301165,72.08917,4.067496
10400,1.604,38,270595,3127513000.0,528798180.0,167996210.0,2430718700.0,0.13453062,55.921646,4.9882174,34.07398,2.171884
10621,1.604,38,302541,83777210000.0,15534612000.0,10048741000.0,58182520000.0,9.84184,179.44667,11.413339,98.9441,5.598546
11152,1.604,38,363072,21806567000.0,4194092500.0,1756779400.0,15852986000.0,3.1672258,123.599335,6.5416822,72.11746,3.0733664
