,z,Snapshot,SubhaloID,"M,M_{\odot}","$M_{gas},M_{\odot}$","$M_{stellar},M_{\odot}$","$M_{DM},M_{\odot}$",SFR($M_{\odot}/yr$),$V_{max}$(km/s),$R_{max}$(kpc),$\sigma_v$(km/s),$R_{1/2M_*}(kpc)$
1635,0.059,94,666114,19386137000.0,2030855200.0,1612189800.0,15735921000.0,0.33508474,100.417046,19.118713,52.476044,4.8351216
2170,0.059,94,708513,13482251000.0,1040574300.0,814387260.0,11623164000.0,0.17901677,92.28295,13.012569,48.340202,3.5568202
2449,0.059,94,729843,2807999700.0,156368700.0,202027860.0,2447960800.0,0.03512528,67.56785,15.844822,36.596416,1.689711
3782,0.074,93,481067,273518400000.0,11127005000.0,84995800000.0,177237840000.0,1.4987317,240.33762,1.4866835,125.7646,10.491428
4159,0.074,93,576735,101776070000.0,6409140000.0,22540870000.0,72794510000.0,1.0226641,163.57181,17.399033,83.12542,8.194858
4726,0.074,93,648450,38165620000.0,4416877000.0,5653689000.0,28085080000.0,0.87347883,121.690155,10.441772,60.15548,5.5575776
4915,0.074,93,665048,1293256700.0,156173520.0,130220200.0,1006863000.0,0.055557862,57.431465,11.948809,34.345753,1.0894308
6196,0.074,93,762210,3655417900.0,198865600.0,467271700.0,2989280300.0,0.070318796,71.7963,5.695566,36.70711,1.6486566
7036,0.084,92,486568,2962442200.0,251319980.0,337575600.0,2373546800.0,0.0932189,66.990685,12.121952,36.302006,1.7559724
8416,0.084,92,685410,6553728500.0,487685860.0,828261700.0,5231240700.0,0.120671995,81.240875,10.33045,44.612247,2.2994783
9209,0.084,92,746591,2286680800.0,292391520.0,136198320.0,1858091000.0,0.04676356,64.832634,19.529558,35.032967,1.9691682
10126,0.099,91,432252,52427910000.0,9365621000.0,7246531600.0,35805570000.0,1.6657847,123.93395,17.387005,70.04447,7.4370766
10194,0.099,91,460192,94588690000.0,13877732000.0,19884380000.0,60803813000.0,4.026524,148.2976,17.179241,90.14746,9.266644
10419,0.099,91,533810,24787454000.0,2469693700.0,4753797000.0,17550450000.0,1.0264546,118.52843,6.9747367,64.472626,3.8045313
10537,0.099,91,557874,102310490000.0,11422736000.0,17729282000.0,73135280000.0,1.9595479,157.0854,20.726164,83.10486,8.961891
10566,0.099,91,562345,3785745400.0,627355800.0,569790900.0,2584538600.0,0.23196095,66.09927,5.5413957,39.771492,1.9102774
11056,0.099,91,628397,30382195000.0,1959627900.0,4449111600.0,23959618000.0,0.32406974,123.92864,15.485583,66.759125,4.4466414
11371,0.099,91,658316,18544630000.0,1968795000.0,1450134400.0,15118825000.0,0.21716937,99.222176,18.714334,52.160442,4.725206
14777,0.11,90,675066,7224070000.0,722858600.0,1642340700.0,4850547000.0,0.30518523,89.46563,8.702484,49.53541,2.0030158
16061,0.126,89,69030,160940590000.0,5928904000.0,54941983000.0,99890870000.0,1.0968109,256.71805,1.0277854,120.98444,6.592922
16150,0.126,89,189832,19023720000.0,667921150.0,7628495400.0,10687993000.0,0.27533275,133.00601,1.8485599,67.57617,2.4462311
16224,0.126,89,284847,54298940000.0,3681868000.0,13134514000.0,37454033000.0,1.156366,138.94603,10.099077,77.33035,6.170489
16856,0.126,89,552063,3215314400.0,488377700.0,567028900.0,2154841000.0,0.19538587,67.809425,3.199742,40.78171,1.5109259
16996,0.126,89,576881,19524676000.0,1944600200.0,1524652200.0,16050365000.0,0.25941923,102.8896,27.960115,56.43339,4.9909887
17873,0.126,89,670793,26724665000.0,3252503600.0,1586456400.0,21881460000.0,0.20903228,96.00706,18.119755,51.023106,6.4677534
18328,0.126,89,709071,2743059200.0,228772880.0,450983940.0,2059554200.0,0.076770045,72.29952,16.79137,40.846123,1.3186159
18529,0.126,89,725864,4986576000.0,643981800.0,684037600.0,3658556000.0,0.30789402,79.02423,7.582355,41.89162,1.8245099
19045,0.126,89,768099,1432153200.0,123540856.0,166986780.0,1141625600.0,0.034873117,58.04523,9.234784,30.424263,1.1453754
19186,0.142,88,113174,51783700000.0,1897149700.0,22671927000.0,27108162000.0,0.90960777,199.56004,1.4988045,91.1254,3.3371632
20031,0.142,88,564400,69267700000.0,5403799000.0,10160223000.0,53679542000.0,1.0699087,147.58733,24.599045,78.77427,7.187879
20293,0.142,88,601061,29611082000.0,4120139000.0,2885117400.0,22602916000.0,0.865433,111.59106,28.278915,60.381035,5.8426313
21634,0.142,88,723111,3374295000.0,133963940.0,508325120.0,2732006100.0,0.13881028,73.386795,3.7147684,39.37078,1.356064
21743,0.142,88,732471,1712780400.0,104376100.0,125107864.0,1483296500.0,0.039818045,67.364265,13.859962,36.23503,1.4014182
22311,0.153,87,214461,78275900000.0,7138619000.0,17845385000.0,53259375000.0,1.9713596,151.34355,11.428226,80.65558,7.549101
22520,0.153,87,392263,165143400000.0,12150219000.0,38079664000.0,114839090000.0,2.129152,197.45326,25.732681,104.65578,9.1421585
23662,0.153,87,633133,8767793000.0,838050050.0,1716937500.0,6203165000.0,0.45686513,99.194786,4.1367755,53.28398,1.9234037
