,Snapshot,SubhaloID,$z$
0,48,11,1.074
1,48,17,1.074
2,48,20,1.074
3,48,21,1.074
4,48,51,1.074
5,48,66,1.074
6,48,142,1.074
7,48,162,1.074
8,48,204,1.074
9,48,272,1.074
10,48,20837,1.074
11,48,20838,1.074
12,48,37660,1.074
13,48,37661,1.074
14,48,37664,1.074
15,48,37673,1.074
16,48,37675,1.074
17,48,37676,1.074
18,48,50936,1.074
19,48,50937,1.074
20,48,50941,1.074
21,48,50942,1.074
22,48,50943,1.074
23,48,50965,1.074
24,48,64765,1.074
25,48,64767,1.074
26,48,64769,1.074
27,48,64771,1.074
28,48,64791,1.074
29,48,73921,1.074
30,48,73924,1.074
31,48,73925,1.074
32,48,73927,1.074
33,48,73928,1.074
34,48,81224,1.074
35,48,81226,1.074
36,48,81230,1.074
37,48,81232,1.074
38,48,81233,1.074
39,48,81234,1.074
40,48,81236,1.074
41,48,81249,1.074
42,48,81260,1.074
43,48,81281,1.074
44,48,87976,1.074
45,48,87977,1.074
46,48,87978,1.074
47,48,87979,1.074
48,48,87983,1.074
49,48,94123,1.074
50,48,94125,1.074
51,48,94128,1.074
52,48,98845,1.074
53,48,98847,1.074
54,48,103479,1.074
55,48,106848,1.074
56,48,111092,1.074
57,48,111094,1.074
58,48,114892,1.074
59,48,121900,1.074
60,48,121902,1.074
61,48,121903,1.074
62,48,125447,1.074
63,48,125451,1.074
64,48,125454,1.074
65,48,129009,1.074
66,48,129010,1.074
67,48,129030,1.074
68,48,132102,1.074
69,48,132103,1.074
70,48,132104,1.074
71,48,132106,1.074
72,48,135194,1.074
73,48,135196,1.074
74,48,139695,1.074
75,48,143106,1.074
76,48,143107,1.074
77,48,143108,1.074
78,48,143109,1.074
79,48,143111,1.074
80,48,143113,1.074
81,48,143116,1.074
82,48,143118,1.074
83,48,145667,1.074
84,48,148158,1.074
85,48,148159,1.074
86,48,148160,1.074
87,48,148162,1.074
88,48,150361,1.074
89,48,150362,1.074
90,48,150363,1.074
91,48,150365,1.074
92,48,150374,1.074
93,48,152409,1.074
94,48,152413,1.074
95,48,152414,1.074
96,48,152415,1.074
97,48,152420,1.074
98,48,154882,1.074
99,48,154883,1.074
100,48,157067,1.074
101,48,157070,1.074
102,48,158683,1.074
103,48,158685,1.074
104,48,158687,1.074
105,48,161055,1.074
106,48,161056,1.074
107,48,161060,1.074
108,48,163283,1.074
109,48,165376,1.074
110,48,165377,1.074
111,48,165378,1.074
112,48,165379,1.074
113,48,167432,1.074
114,48,167433,1.074
115,48,169132,1.074
116,48,169134,1.074
117,48,177622,1.074
118,48,179137,1.074
119,48,180497,1.074
120,48,180498,1.074
121,48,181738,1.074
122,48,181739,1.074
123,48,181741,1.074
124,48,181743,1.074
125,48,183025,1.074
126,48,186799,1.074
127,48,188180,1.074
128,48,189095,1.074
129,48,190311,1.074
130,48,190313,1.074
131,48,190314,1.074
132,48,190315,1.074
133,48,190316,1.074
134,48,191332,1.074
135,48,191335,1.074
136,48,192416,1.074
137,48,192417,1.074
138,48,192418,1.074
139,48,194763,1.074
140,48,195649,1.074
141,48,196855,1.074
142,48,196857,1.074
143,48,196858,1.074
144,48,198002,1.074
145,48,198003,1.074
146,48,198005,1.074
147,48,198870,1.074
148,48,198871,1.074
149,48,198873,1.074
150,48,201611,1.074
151,48,201615,1.074
152,48,202877,1.074
153,48,202879,1.074
154,48,204622,1.074
155,48,204623,1.074
156,48,204625,1.074
157,48,204627,1.074
158,48,206131,1.074
159,48,206132,1.074
160,48,206135,1.074
161,48,207388,1.074
162,48,208434,1.074
163,48,208435,1.074
164,48,208436,1.074
165,48,209681,1.074
166,48,210731,1.074
167,48,211801,1.074
168,48,211803,1.074
169,48,212993,1.074
170,48,212994,1.074
171,48,214893,1.074
172,48,214895,1.074
173,48,215816,1.074
174,48,216835,1.074
175,48,216836,1.074
176,48,217498,1.074
177,48,218148,1.074
178,48,218151,1.074
179,48,219079,1.074
180,48,219082,1.074
181,48,219885,1.074
182,48,219886,1.074
183,48,220811,1.074
184,48,222507,1.074
185,48,222508,1.074
186,48,224182,1.074
187,48,224183,1.074
188,48,226480,1.074
189,48,227286,1.074
190,48,229719,1.074
191,48,230489,1.074
192,48,230490,1.074
193,48,230491,1.074
194,48,230492,1.074
195,48,231315,1.074
196,48,232019,1.074
197,48,232021,1.074
198,48,232022,1.074
199,48,233846,1.074
200,48,233847,1.074
201,48,234635,1.074
202,48,234636,1.074
203,48,234638,1.074
204,48,235273,1.074
205,48,235274,1.074
206,48,236676,1.074
207,48,236680,1.074
