z,Snapshot,SubhaloID,"M,M_{\odot}","$M_{gas},M_{\odot}$","$M_{stellar},M_{\odot}$","$M_{DM},M_{\odot}$",SFR($M_{\odot}/yr$),$V_{max}$(km/s),$R_{max}$(kpc),$\sigma_v$(km/s),$R_{1/2M_*}(kpc)$
1.074,48,457845,12029032000.0,1598487800.0,995226200.0,9432023000.0,0.77180135,104.81615,11.050524,63.739697,2.5408068
1.074,48,458087,14480150000.0,2445819100.0,599256450.0,11433045000.0,0.87832874,101.04099,20.58527,57.19393,3.8319945
1.074,48,458359,20318943000.0,2580193300.0,1033314500.0,16703307000.0,2.422322,134.28694,12.974978,85.66639,2.786771
1.074,48,458462,32262463000.0,5020852000.0,2903861200.0,24329873000.0,1.7841332,125.035065,19.328417,70.41908,4.544818
1.074,48,458648,24537223000.0,3209169400.0,2951155000.0,18367648000.0,1.5650125,125.89632,8.286036,68.887054,3.363327
1.074,48,458833,15085366000.0,2377217500.0,1360861700.0,11347287000.0,0.96455854,118.837364,40.530563,71.690506,3.8287947
1.074,48,458834,2863292400.0,493916100.0,675586300.0,1689751000.0,0.49574327,81.16985,1.9014266,48.475502,0.9353279
1.074,48,458998,9530360000.0,1373555700.0,1898914600.0,6251716000.0,1.1839231,112.32847,27.184217,70.90264,1.7217859
1.074,48,458999,3957988600.0,839447500.0,540808600.0,2577732400.0,0.47603133,76.36329,6.0806437,47.558216,1.5440166
1.074,48,459209,12203819000.0,1858854000.0,2460142600.0,7877942300.0,1.1172788,111.95861,14.545529,64.894424,2.2337053
1.074,48,459304,39840540000.0,6438675000.0,3914074000.0,29481253000.0,1.8556892,123.62391,12.313192,68.1162,5.6250176
1.074,48,459380,17523663000.0,2152685800.0,2215780000.0,13148659000.0,1.1626011,117.36938,14.67948,66.38839,2.9060905
1.074,48,459496,14035530000.0,2579810800.0,2178815200.0,9270489000.0,1.5711954,116.441444,12.376157,67.53958,2.4107413
1.074,48,459729,11337048000.0,1891745000.0,1557603700.0,7880665000.0,0.9850878,109.25201,19.680141,62.777065,2.3353426
1.074,48,459887,19237237000.0,3114713600.0,1386488200.0,14731780000.0,1.537708,114.6254,11.809111,66.278076,3.3396966
1.074,48,460012,12681806000.0,1655080800.0,621623360.0,10403040000.0,0.44324878,106.19038,40.28407,64.5563,3.557605
1.074,48,460193,5247902700.0,643397800.0,1442706000.0,3152629000.0,0.7424866,113.79543,20.345833,67.74962,0.9830347
1.074,48,461406,16778290000.0,2132624400.0,1731967600.0,12906812000.0,0.9252765,112.39104,20.033037,64.08189,3.0796945
1.074,48,461604,14622554000.0,1939025400.0,2783365000.0,9892122000.0,1.5466678,120.70079,5.0945005,67.74905,2.16688
