z,Snapshot,SubhaloID,"M,M_{\odot}","$M_{gas},M_{\odot}$","$M_{stellar},M_{\odot}$","$M_{DM},M_{\odot}$",SFR($M_{\odot}/yr$),$V_{max}$(km/s),$R_{max}$(kpc),$\sigma_v$(km/s),$R_{1/2M_*}(kpc)$
2.103,32,1,174923680000.0,10548670000.0,124780270000.0,39258580000.0,241.63522,847.0617,0.3446925,317.0618,1.2344846
2.103,32,2,162567630000.0,21292691000.0,72276290000.0,68882770000.0,101.18063,425.2913,0.48033962,212.7556,2.72402
2.103,32,4,28404433000.0,5447116300.0,5131557000.0,17816345000.0,7.804926,157.22119,3.8462863,91.52204,2.497432
2.103,32,5,42819050000.0,2842127400.0,15986734000.0,23944643000.0,10.733206,212.4603,1.1659957,113.34565,2.2277322
2.103,32,6,45328806000.0,9316991000.0,12234584000.0,23756792000.0,25.89792,194.91931,1.8964114,108.74869,2.9363918
2.103,32,7,39226850000.0,6839161000.0,14897492000.0,17459247000.0,24.356228,219.2801,2.0540717,129.03667,1.7924322
2.103,32,7467,78212874000.0,13776971000.0,26662412000.0,37741253000.0,42.528114,258.72754,3.6337638,141.37404,2.5683212
2.103,32,7468,31771468000.0,6253037600.0,4131975700.0,21380977000.0,5.410139,141.6671,14.681293,89.36895,3.444079
2.103,32,7469,32115485000.0,6226292700.0,3989091800.0,21894620000.0,6.398464,150.58311,7.0972357,88.909195,3.061596
2.103,32,7470,19038022000.0,3373148200.0,4620468700.0,11033294000.0,4.6095023,152.18121,3.782813,85.96455,1.7755291
2.103,32,7471,31125225000.0,5492455000.0,3796978200.0,21824741000.0,4.9429374,157.44325,5.850325,92.472725,2.709976
2.103,32,7478,5261426000.0,917921700.0,659085060.0,3684419300.0,0.9477686,90.02579,4.403783,54.51542,1.4332494
2.103,32,14356,68478630000.0,11637700000.0,8466267000.0,48359820000.0,8.867081,192.39285,16.046352,108.3783,4.272084
2.103,32,14359,34219630000.0,4090516500.0,12383454000.0,17718338000.0,7.8590593,202.38165,2.7794218,110.870186,1.8755308
2.103,32,14360,20076407000.0,3557946600.0,1175767400.0,15340255000.0,1.6627529,110.94902,14.514381,62.805626,3.7611403
2.103,32,14362,21257124000.0,4606777300.0,2512059000.0,14131473000.0,4.337085,125.26555,6.6743474,74.13325,2.945167
2.103,32,14364,16216461000.0,2694832400.0,2168095700.0,11349102000.0,3.466888,120.75444,3.3374681,70.949104,2.4071395
2.103,32,14457,494304670.0,193107800.0,121059590.0,180137260.0,0.4387699,57.004486,0.6042831,25.058685,0.33902135
2.103,32,20550,241752230000.0,7562040000.0,198595610000.0,35310080000.0,410.41385,1496.9504,0.25894904,304.37103,0.44180351
2.103,32,20551,109567690000.0,8630211000.0,62758440000.0,37948617000.0,42.144524,638.1286,0.3391599,193.03105,1.6146504
2.103,32,20554,15940143000.0,1937881500.0,8926633000.0,5037944300.0,17.201656,236.61757,0.42070594,123.54123,0.7089048
