,Snapshot,SubhaloID,$z$
0,69,3,0.461
1,69,8,0.461
2,69,13,0.461
3,69,17,0.461
4,69,22,0.461
5,69,25,0.461
6,69,29,0.461
7,69,43,0.461
8,69,58,0.461
9,69,63,0.461
10,69,68,0.461
11,69,70,0.461
12,69,107,0.461
13,69,53377,0.461
14,69,53381,0.461
15,69,53382,0.461
16,69,53394,0.461
17,69,53407,0.461
18,69,53410,0.461
19,69,53422,0.461
20,69,76901,0.461
21,69,76907,0.461
22,69,76910,0.461
23,69,76913,0.461
24,69,76917,0.461
25,69,76920,0.461
26,69,76923,0.461
27,69,76924,0.461
28,69,76938,0.461
29,69,76945,0.461
30,69,92015,0.461
31,69,92017,0.461
32,69,92018,0.461
33,69,92020,0.461
34,69,92028,0.461
35,69,92030,0.461
36,69,92031,0.461
37,69,92035,0.461
38,69,92036,0.461
39,69,92040,0.461
40,69,92050,0.461
41,69,92063,0.461
42,69,105582,0.461
43,69,105584,0.461
44,69,105586,0.461
45,69,105591,0.461
46,69,105602,0.461
47,69,116563,0.461
48,69,116572,0.461
49,69,127034,0.461
50,69,127035,0.461
51,69,127036,0.461
52,69,127040,0.461
53,69,134211,0.461
54,69,134213,0.461
55,69,134215,0.461
56,69,134217,0.461
57,69,134221,0.461
58,69,134222,0.461
59,69,134224,0.461
60,69,134251,0.461
61,69,142418,0.461
62,69,142419,0.461
63,69,142421,0.461
64,69,142426,0.461
65,69,142430,0.461
66,69,142431,0.461
67,69,149534,0.461
68,69,149538,0.461
69,69,149539,0.461
70,69,149540,0.461
71,69,149541,0.461
72,69,149544,0.461
73,69,149545,0.461
74,69,149597,0.461
75,69,157802,0.461
76,69,157803,0.461
77,69,157805,0.461
78,69,157806,0.461
79,69,157809,0.461
80,69,157812,0.461
81,69,157814,0.461
82,69,157817,0.461
83,69,164816,0.461
84,69,164817,0.461
85,69,164820,0.461
86,69,164823,0.461
87,69,171396,0.461
88,69,171399,0.461
89,69,171400,0.461
90,69,177869,0.461
91,69,177870,0.461
92,69,177872,0.461
93,69,177879,0.461
94,69,177881,0.461
95,69,183009,0.461
96,69,183011,0.461
97,69,183012,0.461
98,69,183015,0.461
99,69,183038,0.461
100,69,188147,0.461
101,69,188149,0.461
102,69,188150,0.461
103,69,188151,0.461
104,69,188153,0.461
