z,Snapshot,SubhaloID,"M,M_{\odot}","$M_{gas},M_{\odot}$","$M_{stellar},M_{\odot}$","$M_{DM},M_{\odot}$",SFR($M_{\odot}/yr$),$V_{max}$(km/s),$R_{max}$(kpc),$\sigma_v$(km/s),$R_{1/2M_*}(kpc)$
0.461,69,3,601069260000.0,12254762000.0,303499100000.0,284569240000.0,9.679496,607.05725,1.3585428,259.98434,7.273972
0.461,69,8,145302780000.0,18367656000.0,42852690000.0,83992510000.0,7.508961,214.22325,12.172031,116.66676,6.8238854
0.461,69,13,127499305000.0,10702650000.0,29650323000.0,87111110000.0,3.1767342,181.43178,13.40861,97.62293,8.519217
0.461,69,17,100467340000.0,13365542000.0,15222550000.0,71861160000.0,3.6829736,150.73543,19.525166,82.494,9.515723
0.461,69,22,35527370000.0,6977998000.0,2472533200.0,26069537000.0,1.8396796,104.291145,28.075386,62.572395,7.6293945
0.461,69,25,21677079000.0,1594443900.0,6102377000.0,13958142000.0,0.75907844,136.2425,9.514418,75.675934,2.5933669
0.461,69,29,22514332000.0,765387700.0,10292824000.0,11406727000.0,1.8287494,168.2766,0.8006999,82.55574,2.0125382
0.461,69,43,18616918000.0,1139216900.0,5145756700.0,12311951000.0,1.0781994,124.43798,2.175464,63.650173,2.631975
0.461,69,58,16835846000.0,1224893000.0,2776358700.0,12825137000.0,0.42011836,100.25541,5.6304073,54.29305,3.6216335
0.461,69,63,8904930000.0,1160543200.0,1000447360.0,6742670000.0,0.35443908,85.97486,6.5380316,45.76062,2.617951
0.461,69,68,12884684000.0,1585258900.0,682249800.0,10614940000.0,0.27702007,82.149254,11.859337,46.281895,4.239552
0.461,69,70,5958563000.0,680109800.0,178345400.0,5100108300.0,0.13460648,72.45472,28.018976,45.554085,2.9325764
0.461,69,107,3222286000.0,276001760.0,241005360.0,2703874000.0,0.1133204,70.35717,12.598156,42.056847,1.6483835
0.461,69,53377,24525306000.0,2591375600.0,8195525000.0,13702230000.0,2.7166147,150.85573,6.099495,83.976585,2.3479238
0.461,69,53381,21200437000.0,3539200800.0,3012639000.0,14636039000.0,1.2958076,112.20641,16.248615,63.26378,3.772285
0.461,69,53382,39499120000.0,2229217000.0,14132926000.0,23082527000.0,2.1060545,167.09117,1.3336431,94.35661,3.310023
0.461,69,53394,16427420000.0,870802500.0,2653915100.0,12892747000.0,0.5529118,100.9078,5.814487,59.398064,3.4924471
0.461,69,53407,8341979000.0,883233340.0,1468787200.0,5983098400.0,0.63272417,84.868355,3.331174,52.847755,2.5225244
0.461,69,53410,7412217300.0,653643800.0,1484296200.0,5268901400.0,0.47273764,85.20866,3.0234504,49.102577,2.2162232
0.461,69,53422,5591867000.0,898666300.0,198390110.0,4494810600.0,0.16473089,59.845364,9.015234,34.80443,3.3898575
0.461,69,76901,104052470000.0,4789024000.0,43386440000.0,55665590000.0,2.5388162,305.46616,0.7107187,118.17007,4.2757115
0.461,69,76907,88059314000.0,8591630000.0,25126023000.0,54280303000.0,5.742703,191.1617,5.1795025,108.59543,5.314476
