,Snapshot,SubhaloID,$z$
0,28,1,2.577
1,28,2,2.577
2,28,3,2.577
3,28,4,2.577
4,28,5,2.577
5,28,6,2.577
6,28,7,2.577
7,28,8,2.577
8,28,9,2.577
9,28,10,2.577
10,28,11,2.577
11,28,12,2.577
12,28,13,2.577
13,28,14,2.577
14,28,15,2.577
15,28,16,2.577
16,28,17,2.577
17,28,18,2.577
18,28,22,2.577
19,28,23,2.577
20,28,24,2.577
21,28,30,2.577
22,28,31,2.577
23,28,42,2.577
24,28,5876,2.577
25,28,5877,2.577
26,28,5878,2.577
27,28,5879,2.577
28,28,5880,2.577
29,28,5882,2.577
30,28,5885,2.577
31,28,5888,2.577
32,28,5899,2.577
33,28,5904,2.577
34,28,9442,2.577
35,28,9443,2.577
36,28,9444,2.577
37,28,9445,2.577
38,28,9446,2.577
39,28,9447,2.577
40,28,9448,2.577
41,28,9449,2.577
42,28,9450,2.577
43,28,9451,2.577
44,28,9452,2.577
45,28,9453,2.577
46,28,9454,2.577
47,28,9455,2.577
48,28,9456,2.577
49,28,9458,2.577
50,28,9459,2.577
51,28,9460,2.577
52,28,9462,2.577
53,28,9464,2.577
54,28,9470,2.577
55,28,14523,2.577
56,28,14524,2.577
57,28,14525,2.577
58,28,14526,2.577
59,28,14527,2.577
60,28,14528,2.577
61,28,14529,2.577
62,28,14530,2.577
63,28,14531,2.577
64,28,14532,2.577
65,28,14533,2.577
66,28,14535,2.577
67,28,14537,2.577
68,28,14538,2.577
69,28,14539,2.577
70,28,14542,2.577
71,28,14546,2.577
72,28,14548,2.577
73,28,14550,2.577
74,28,14552,2.577
75,28,17952,2.577
76,28,17953,2.577
77,28,17954,2.577
78,28,17955,2.577
79,28,19831,2.577
80,28,19832,2.577
81,28,19833,2.577
82,28,19834,2.577
83,28,19835,2.577
84,28,19836,2.577
85,28,19837,2.577
86,28,19838,2.577
87,28,19839,2.577
88,28,19842,2.577
89,28,22404,2.577
90,28,22405,2.577
91,28,22406,2.577
92,28,22407,2.577
93,28,22408,2.577
94,28,22409,2.577
95,28,22410,2.577
96,28,22411,2.577
97,28,22412,2.577
98,28,22413,2.577
99,28,22415,2.577
100,28,22420,2.577
