z,Snapshot,SubhaloID,"M,M_{\odot}","$M_{gas},M_{\odot}$","$M_{stellar},M_{\odot}$","$M_{DM},M_{\odot}$",SFR($M_{\odot}/yr$),$V_{max}$(km/s),$R_{max}$(kpc),$\sigma_v$(km/s),$R_{1/2M_*}(kpc)$
2.103,32,0,360142600000.0,9329772000.0,263536380000.0,86692760000.0,66.09991,1223.4978,0.41773394,375.2087,1.6182724
2.103,32,1,174923680000.0,10548670000.0,124780270000.0,39258580000.0,241.63522,847.0617,0.3446925,317.0618,1.2344846
2.103,32,2,162567630000.0,21292691000.0,72276290000.0,68882770000.0,101.18063,425.2913,0.48033962,212.7556,2.72402
2.103,32,3,60103266000.0,2737688000.0,36735010000.0,20427203000.0,13.117021,468.39285,0.34783167,166.167,0.9901203
2.103,32,4,28404433000.0,5447116300.0,5131557000.0,17816345000.0,7.804926,157.22119,3.8462863,91.52204,2.497432
2.103,32,5,42819050000.0,2842127400.0,15986734000.0,23944643000.0,10.733206,212.4603,1.1659957,113.34565,2.2277322
2.103,32,6,45328806000.0,9316991000.0,12234584000.0,23756792000.0,25.89792,194.91931,1.8964114,108.74869,2.9363918
2.103,32,7,39226850000.0,6839161000.0,14897492000.0,17459247000.0,24.356228,219.2801,2.0540717,129.03667,1.7924322
2.103,32,8,14615409000.0,2037056400.0,2385451000.0,10185243000.0,1.6715739,128.06651,16.526106,78.8549,2.0602674
2.103,32,9,24390631000.0,3234942200.0,6009602600.0,15133345000.0,3.581329,154.51091,4.348419,88.817055,2.2010958
2.103,32,10,18147640000.0,2315500000.0,773035000.0,15056208000.0,0.7876426,97.9403,16.56096,58.99896,4.597138
2.103,32,11,18912215000.0,1302211000.0,7257084400.0,10329533000.0,1.4616643,154.04236,0.36163402,85.804054,1.8928667
2.103,32,12,8647751000.0,977342660.0,577165200.0,7091601000.0,0.54401714,92.444176,9.81919,54.43361,2.298252
2.103,32,15,7118140400.0,611227600.0,1074913500.0,5427712500.0,0.24196997,95.37602,5.774052,55.59639,1.7734765
