z,Snapshot,SubhaloID,"M,M_{\odot}","$M_{gas},M_{\odot}$","$M_{stellar},M_{\odot}$","$M_{DM},M_{\odot}$",SFR($M_{\odot}/yr$),$V_{max}$(km/s),$R_{max}$(kpc),$\sigma_v$(km/s),$R_{1/2M_*}(kpc)$
2.577,28,1,110216830000.0,11063225000.0,66220300000.0,32789520000.0,87.98954,607.3764,0.30731964,228.33707,1.2857345
2.577,28,2,61259993000.0,7935195000.0,15507631000.0,37794340000.0,8.650032,209.31804,4.8653016,113.94124,3.0660717
2.577,28,3,28872430000.0,4258927900.0,4575485400.0,20031082000.0,4.434462,157.6996,5.859429,92.27102,2.5046284
2.577,28,4,14582762000.0,2700203000.0,1230733300.0,10648064000.0,2.5333152,125.972084,19.715204,77.2448,2.2371027
2.577,28,5,10918688000.0,1284714800.0,1110097900.0,8521354000.0,1.0555941,117.77721,12.674025,67.53579,2.0167165
2.577,28,6,32016753000.0,6945002500.0,6696464400.0,18364924000.0,12.3538685,168.58257,4.2102137,102.25008,2.4818182
2.577,28,7,8166203000.0,914715140.0,432294180.0,6816630300.0,0.5438425,102.97001,14.639467,68.36444,2.0260384
2.577,28,8,8752515000.0,1089793400.0,431037700.0,7230446600.0,0.46197477,95.67373,8.448465,57.650238,2.2143762
2.577,28,9,12954372000.0,1973196000.0,3464869400.0,7516307000.0,1.9854398,123.35938,2.834036,70.85625,1.854615
2.577,28,10,8110146600.0,1299973200.0,575944000.0,6231297500.0,0.74551827,102.4653,7.73818,62.279247,1.872707
2.577,28,11,7225897500.0,751130500.0,386399520.0,6088367000.0,0.50788105,93.320786,13.35496,55.27045,2.0119884
2.577,28,12,8467341000.0,2772803000.0,1059973950.0,4634564600.0,5.586609,112.03322,2.739948,65.971466,1.4606023
2.577,28,13,6027919400.0,626646100.0,386523460.0,5012535000.0,0.24533589,90.54568,7.5495486,53.643425,1.8088316
2.577,28,14,11716291000.0,1580170400.0,1869100300.0,8264080000.0,1.2311399,109.2302,3.6553524,64.36687,2.1287313
2.577,28,15,10064587000.0,1264809100.0,941346300.0,7858431500.0,0.8822939,102.68186,4.561615,61.566116,2.05907
2.577,28,16,8309966000.0,1494000100.0,952984000.0,5861040000.0,1.2823586,99.16108,3.564872,61.378044,1.8208765
2.577,28,17,6153077000.0,495468480.0,379965570.0,5275708000.0,0.43596697,91.79546,6.67819,60.78379,1.694985
2.577,28,18,2162981000.0,210272130.0,134000740.0,1817253600.0,0.16508098,76.892334,11.171477,50.574978,0.9467534
2.577,28,22,4177255200.0,315049000.0,134227260.0,3727979500.0,0.1271045,74.63052,7.955982,44.833942,1.8074762
2.577,28,23,4098319400.0,538923460.0,601423700.0,2957971700.0,0.48159587,81.46492,3.9757755,50.452515,1.3329399
2.577,28,24,2401062000.0,252412000.0,124487910.0,2024162000.0,0.09729634,66.79057,6.212189,41.049232,1.3633003
2.577,28,30,2319287600.0,142079250.0,109033020.0,2068175400.0,0.061908137,54.024532,7.537631,34.35123,1.8879099
2.577,28,31,2961784300.0,534357920.0,203616110.0,2223810600.0,0.6966711,71.27187,1.9091563,44.886497,1.2693987
2.577,28,42,2725187600.0,247630740.0,101741576.0,2375815400.0,0.11285054,56.900494,4.5785537,36.895172,1.8611349
2.577,28,5876,55761785000.0,11773158000.0,8449852400.0,35523793000.0,19.306042,196.63925,5.2209525,114.62873,3.1416228
2.577,28,5877,24961393000.0,3116364300.0,9865361000.0,11948046000.0,8.449535,225.90813,1.4318217,118.25873,1.1024317
2.577,28,5878,22126020000.0,1278717200.0,11589520000.0,9257784000.0,4.519733,227.26428,0.28515697,98.999886,1.5656861
2.577,28,5879,12574837000.0,1133040100.0,664415400.0,10777382000.0,0.46884066,112.122086,16.677633,68.07139,2.7516928
2.577,28,5880,16295219000.0,3838335200.0,1902572800.0,10551868000.0,4.9668627,125.356804,3.6712582,73.26215,2.2847714
2.577,28,5882,5047228000.0,486477150.0,180284580.0,4380466000.0,0.18725817,75.49141,7.972973,45.20135,1.9574838
2.577,28,5885,2378259200.0,263911000.0,248997340.0,1865350800.0,0.24134058,78.77797,5.8932004,47.96345,0.9755818
2.577,28,5888,4360467000.0,756774660.0,260767170.0,3341387300.0,1.1180142,77.50716,3.273895,51.03855,1.56706
2.577,28,5899,2675470600.0,152307580.0,246718060.0,2276445000.0,0.16444708,64.8443,2.867681,39.18859,1.3723733
2.577,28,5904,1466346600.0,144733970.0,140491970.0,1179286400.0,0.080397725,60.329792,2.2220762,38.763214,0.88540995
2.577,28,9442,31733803000.0,3192479200.0,14355143000.0,14131927000.0,11.4650755,263.96533,0.30086088,124.546844,1.2931374
2.577,28,9443,31767235000.0,5382788600.0,8615790000.0,17752822000.0,10.75759,198.40164,2.899203,103.23538,1.7506812
2.577,28,9444,35489180000.0,4632605700.0,6500224000.0,24347570000.0,8.213854,180.13109,12.132221,111.40694,2.4653742
2.577,28,9445,17187117000.0,3647366700.0,1503738600.0,12032897000.0,3.1597703,124.47204,13.805423,73.17512,2.492309
2.577,28,9446,18521717000.0,3043626800.0,1359737600.0,14115592000.0,2.0221136,127.586136,10.197083,74.27754,2.5742774
2.577,28,9447,13248748000.0,2282099000.0,2854701600.0,8105723400.0,2.0844522,117.76262,4.427552,67.285835,2.063659
2.577,28,9448,28385192000.0,6155952000.0,830375400.0,21397314000.0,2.5009425,97.82732,14.237326,59.8661,6.455574
2.577,28,9449,6924043000.0,1275099300.0,525694620.0,5123249000.0,0.93529844,101.70954,12.029106,62.816193,1.5742773
2.577,28,9450,20374710000.0,3338829300.0,238194400.0,16797685000.0,0.74914706,89.69168,13.304665,54.770535,5.5609193
2.577,28,9451,10464700000.0,1049373950.0,363585820.0,9049970000.0,0.35066834,95.75248,8.20728,58.61617,2.596561
2.577,28,9452,8730424000.0,1293060500.0,597399900.0,6838410000.0,1.246399,102.05538,7.492857,63.02814,1.9499854
2.577,28,9453,4987544600.0,563969300.0,254395580.0,4167659500.0,0.22642528,84.55315,10.585241,51.282803,1.9256665
2.577,28,9454,5234372600.0,686923460.0,330874780.0,4214849300.0,0.32608283,82.336975,8.026821,48.779045,1.8228943
2.577,28,9455,4924086000.0,736877760.0,533188960.0,3654018800.0,0.47974995,73.05911,2.6904216,40.74679,2.059503
2.577,28,9456,3396474600.0,503760450.0,575680830.0,2314559700.0,0.27895167,70.19514,5.549545,44.179016,1.617143
2.577,28,9458,2872102000.0,231032350.0,213073170.0,2427996200.0,0.11657602,72.21708,6.6830444,44.49147,1.3317435
2.577,28,9459,3516574000.0,507527700.0,360982900.0,2648063000.0,0.71240515,71.08488,4.0000725,44.807976,1.5458415
