,Snapshot,SubhaloID,$z$
0,40,1,1.496
1,40,3,1.496
2,40,6,1.496
3,40,7,1.496
4,40,8,1.496
5,40,9,1.496
6,40,11,1.496
7,40,12,1.496
8,40,14,1.496
9,40,16,1.496
10,40,20,1.496
11,40,23,1.496
12,40,25,1.496
13,40,31,1.496
14,40,33,1.496
15,40,35,1.496
16,40,102,1.496
17,40,126,1.496
18,40,158,1.496
19,40,15217,1.496
20,40,15218,1.496
21,40,15219,1.496
22,40,15221,1.496
23,40,15223,1.496
24,40,15228,1.496
25,40,15229,1.496
26,40,15230,1.496
27,40,15232,1.496
28,40,15237,1.496
29,40,25877,1.496
30,40,25878,1.496
31,40,25879,1.496
32,40,25880,1.496
33,40,25882,1.496
34,40,25884,1.496
35,40,25890,1.496
36,40,25895,1.496
37,40,25896,1.496
38,40,36235,1.496
39,40,36236,1.496
40,40,36237,1.496
41,40,36240,1.496
42,40,36241,1.496
43,40,36242,1.496
44,40,36244,1.496
45,40,36250,1.496
46,40,36328,1.496
47,40,44887,1.496
48,40,44889,1.496
49,40,44890,1.496
50,40,44892,1.496
51,40,44893,1.496
52,40,44894,1.496
53,40,44953,1.496
54,40,51915,1.496
55,40,51916,1.496
56,40,51929,1.496
57,40,59043,1.496
58,40,59044,1.496
59,40,62920,1.496
60,40,66106,1.496
61,40,66111,1.496
62,40,68957,1.496
63,40,68959,1.496
64,40,68961,1.496
65,40,72285,1.496
66,40,72286,1.496
67,40,72287,1.496
68,40,77695,1.496
69,40,77696,1.496
70,40,80803,1.496
71,40,80804,1.496
72,40,80807,1.496
73,40,80809,1.496
74,40,87011,1.496
75,40,89369,1.496
76,40,89373,1.496
77,40,89374,1.496
78,40,89375,1.496
79,40,91585,1.496
80,40,91586,1.496
81,40,91587,1.496
82,40,93693,1.496
83,40,93694,1.496
84,40,93695,1.496
85,40,93699,1.496
86,40,95934,1.496
87,40,95937,1.496
88,40,98182,1.496
89,40,98183,1.496
90,40,98189,1.496
91,40,100092,1.496
92,40,100094,1.496
93,40,100095,1.496
94,40,100096,1.496
95,40,102573,1.496
96,40,102574,1.496
97,40,102575,1.496
98,40,102576,1.496
99,40,104580,1.496
100,40,104581,1.496
101,40,104582,1.496
102,40,104583,1.496
103,40,104586,1.496
104,40,104595,1.496
105,40,104597,1.496
106,40,104603,1.496
107,40,106424,1.496
108,40,106425,1.496
109,40,106426,1.496
110,40,106428,1.496
111,40,108380,1.496
112,40,108381,1.496
113,40,108384,1.496
114,40,108388,1.496
115,40,110112,1.496
116,40,110113,1.496
117,40,110115,1.496
118,40,112196,1.496
119,40,112197,1.496
120,40,112204,1.496
121,40,113443,1.496
122,40,114863,1.496
123,40,114864,1.496
124,40,116691,1.496
125,40,116692,1.496
126,40,116693,1.496
127,40,118383,1.496
128,40,118384,1.496
129,40,118387,1.496
130,40,118393,1.496
131,40,119694,1.496
132,40,119695,1.496
133,40,122851,1.496
134,40,122854,1.496
135,40,124040,1.496
136,40,124041,1.496
137,40,124042,1.496
138,40,125535,1.496
139,40,125536,1.496
140,40,127070,1.496
141,40,128103,1.496
142,40,128104,1.496
143,40,129306,1.496
144,40,129307,1.496
145,40,129310,1.496
146,40,129311,1.496
147,40,130662,1.496
148,40,130663,1.496
149,40,130665,1.496
150,40,131686,1.496
151,40,131688,1.496
152,40,132764,1.496
153,40,132765,1.496
154,40,133930,1.496
155,40,134950,1.496
156,40,134951,1.496
157,40,134952,1.496
158,40,135952,1.496
159,40,137026,1.496
160,40,137027,1.496
161,40,137028,1.496
162,40,138265,1.496
163,40,138267,1.496
164,40,138274,1.496
165,40,141038,1.496
166,40,141039,1.496
167,40,141040,1.496
168,40,142043,1.496
169,40,142044,1.496
170,40,143012,1.496
171,40,143013,1.496
172,40,143837,1.496
173,40,144700,1.496
174,40,145448,1.496
175,40,145449,1.496
176,40,146376,1.496
177,40,147367,1.496
178,40,147368,1.496
179,40,148467,1.496
180,40,148468,1.496
181,40,149622,1.496
182,40,150534,1.496
183,40,150535,1.496
184,40,151883,1.496
185,40,155134,1.496
186,40,156291,1.496
187,40,156292,1.496
188,40,157182,1.496
189,40,157183,1.496
190,40,158776,1.496
191,40,158777,1.496
192,40,158778,1.496
193,40,158779,1.496
194,40,158782,1.496
195,40,158783,1.496
196,40,159761,1.496
197,40,162443,1.496
198,40,163071,1.496
199,40,163072,1.496
200,40,163074,1.496
201,40,163735,1.496
202,40,163736,1.496
203,40,164302,1.496
204,40,165004,1.496
205,40,165005,1.496
206,40,165812,1.496
207,40,165813,1.496
208,40,166742,1.496
209,40,166743,1.496
210,40,168295,1.496
211,40,168296,1.496
212,40,168297,1.496
213,40,168300,1.496
214,40,169393,1.496
215,40,170096,1.496
216,40,170919,1.496
217,40,170924,1.496
218,40,172860,1.496
219,40,172861,1.496
220,40,173606,1.496
221,40,174639,1.496
222,40,175360,1.496
223,40,175361,1.496
224,40,175362,1.496
225,40,176051,1.496
226,40,176052,1.496
227,40,176053,1.496
228,40,176577,1.496
229,40,176578,1.496
230,40,179009,1.496
