,Snapshot,SubhaloID,$z$
0,32,0,2.103
1,32,1,2.103
2,32,2,2.103
3,32,3,2.103
4,32,4,2.103
5,32,5,2.103
6,32,6,2.103
7,32,7,2.103
8,32,8,2.103
9,32,9,2.103
10,32,10,2.103
11,32,11,2.103
12,32,12,2.103
13,32,15,2.103
14,32,16,2.103
15,32,18,2.103
16,32,20,2.103
17,32,26,2.103
18,32,29,2.103
19,32,45,2.103
20,32,7466,2.103
21,32,7467,2.103
22,32,7468,2.103
23,32,7469,2.103
24,32,7470,2.103
25,32,7471,2.103
26,32,7472,2.103
27,32,7473,2.103
28,32,7474,2.103
29,32,7477,2.103
30,32,7478,2.103
31,32,7479,2.103
32,32,7480,2.103
33,32,7481,2.103
34,32,7487,2.103
35,32,7516,2.103
36,32,14355,2.103
37,32,14356,2.103
38,32,14357,2.103
39,32,14358,2.103
40,32,14359,2.103
41,32,14360,2.103
42,32,14361,2.103
43,32,14362,2.103
44,32,14363,2.103
45,32,14364,2.103
46,32,14365,2.103
47,32,14366,2.103
48,32,14367,2.103
49,32,14368,2.103
50,32,14371,2.103
51,32,14373,2.103
52,32,14375,2.103
53,32,14457,2.103
54,32,20550,2.103
55,32,20551,2.103
56,32,20553,2.103
57,32,20554,2.103
58,32,20555,2.103
59,32,20556,2.103
60,32,20557,2.103
61,32,20558,2.103
62,32,20559,2.103
63,32,20560,2.103
64,32,23892,2.103
65,32,23894,2.103
66,32,23895,2.103
67,32,23896,2.103
68,32,23897,2.103
69,32,23898,2.103
70,32,23899,2.103
71,32,23900,2.103
72,32,23901,2.103
73,32,23902,2.103
74,32,23903,2.103
75,32,23904,2.103
76,32,23905,2.103
77,32,23906,2.103
78,32,23908,2.103
79,32,23909,2.103
80,32,23911,2.103
81,32,23913,2.103
82,32,23916,2.103
83,32,23921,2.103
84,32,27674,2.103
85,32,27677,2.103
86,32,27678,2.103
87,32,27679,2.103
88,32,27680,2.103
89,32,27681,2.103
90,32,27683,2.103
91,32,27686,2.103
92,32,27689,2.103
93,32,27696,2.103
94,32,27697,2.103
95,32,27704,2.103
96,32,31234,2.103
97,32,31235,2.103
98,32,31238,2.103
99,32,31239,2.103
100,32,31240,2.103
101,32,33608,2.103
102,32,33609,2.103
103,32,33610,2.103
104,32,33611,2.103
105,32,33612,2.103
106,32,33613,2.103
107,32,33614,2.103
108,32,33615,2.103
109,32,33616,2.103
110,32,33617,2.103
111,32,33620,2.103
112,32,33621,2.103
113,32,33622,2.103
114,32,33623,2.103
115,32,36027,2.103
116,32,36028,2.103
117,32,36029,2.103
118,32,36030,2.103
119,32,36031,2.103
120,32,36033,2.103
121,32,36035,2.103
122,32,36037,2.103
123,32,36040,2.103
124,32,38827,2.103
125,32,38828,2.103
126,32,38829,2.103
127,32,38830,2.103
128,32,38834,2.103
129,32,38836,2.103
130,32,38840,2.103
131,32,38845,2.103
132,32,41187,2.103
133,32,41189,2.103
134,32,41190,2.103
135,32,41191,2.103
136,32,41192,2.103
137,32,41202,2.103
138,32,43204,2.103
139,32,43205,2.103
140,32,43206,2.103
141,32,43208,2.103
142,32,43217,2.103
143,32,45242,2.103
144,32,45243,2.103
145,32,45244,2.103
146,32,45248,2.103
147,32,47370,2.103
148,32,47371,2.103
149,32,47372,2.103
150,32,47373,2.103
151,32,47374,2.103
152,32,47375,2.103
153,32,47376,2.103
154,32,47377,2.103
155,32,47379,2.103
156,32,47383,2.103
157,32,49477,2.103
158,32,49478,2.103
159,32,49479,2.103
160,32,49480,2.103
161,32,49481,2.103
162,32,49482,2.103
163,32,49483,2.103
164,32,49484,2.103
165,32,49485,2.103
166,32,49488,2.103
167,32,51520,2.103
168,32,51521,2.103
169,32,51522,2.103
170,32,51524,2.103
171,32,51526,2.103
172,32,51528,2.103
173,32,53578,2.103
174,32,53579,2.103
175,32,53580,2.103
176,32,53581,2.103
177,32,53582,2.103
178,32,53588,2.103
179,32,55293,2.103
180,32,55294,2.103
181,32,55295,2.103
182,32,55298,2.103
183,32,56999,2.103
184,32,57000,2.103
185,32,57001,2.103
186,32,57002,2.103
187,32,57003,2.103
188,32,57004,2.103
189,32,57009,2.103
190,32,58672,2.103
191,32,58673,2.103
192,32,58674,2.103
