,z,Snapshot,SubhaloID,"M,M_{\odot}","$M_{gas},M_{\odot}$","$M_{stellar},M_{\odot}$","$M_{DM},M_{\odot}$",SFR($M_{\odot}/yr$),$V_{max}$(km/s),$R_{max}$(kpc),$\sigma_v$(km/s),$R_{1/2M_*}(kpc)$
3526,0.024,97,676941,5231465000.0,293886460.0,873267260.0,4057399000.0,0.05811122,88.26307,16.883118,49.84144,1.9966877
3533,0.024,97,678828,13590909000.0,1213347200.0,2743900700.0,9623504000.0,0.3502697,100.00542,9.411675,51.92024,2.9998014
3720,0.024,97,715076,4970726000.0,350809860.0,655131200.0,3961204700.0,0.09814764,80.21314,10.204432,44.307434,1.7910235
3836,0.024,97,738688,5665132500.0,246952400.0,677051500.0,4738472000.0,0.064327255,77.65624,11.79147,40.938805,2.2738893
3975,0.024,97,761932,1156863900.0,163120030.0,203317900.0,790426000.0,0.07228138,59.908936,10.597589,32.18996,0.9633735
3977,0.024,97,762201,3685047600.0,299571650.0,477869800.0,2907606000.0,0.09136351,74.68539,8.813467,38.597767,1.6622729
4310,0.034,96,194973,781567400.0,64165440.0,154756600.0,562645300.0,0.03426953,47.115654,8.709613,25.52513,0.9002093
4395,0.034,96,370962,7128452000.0,496486050.0,927862900.0,5699506700.0,0.061716855,74.87926,7.151389,40.102585,2.7554197
4505,0.034,96,498923,140802360000.0,6290066400.0,56627070000.0,77728100000.0,6.0458417,255.62636,0.94468015,110.30003,7.3836846
4650,0.034,96,592797,5213346000.0,568115650.0,566504960.0,4078725000.0,0.10993231,75.01194,14.401092,43.875263,2.3246615
4669,0.034,96,602229,16135356000.0,1097563300.0,2159584500.0,12868244000.0,0.12711266,103.85781,20.300255,60.34664,3.8874054
4681,0.034,96,605879,5591249000.0,539880500.0,968426000.0,4076002600.0,0.13189669,76.158325,6.494754,44.303894,2.1667855
4690,0.034,96,609734,36684340000.0,4061831200.0,7669836300.0,24935625000.0,1.1972814,125.068344,12.785734,65.73749,5.1085167
4692,0.034,96,611777,16771139000.0,1791807200.0,2599612000.0,12371845000.0,0.56111604,107.15153,17.011623,59.809986,3.6380944
4707,0.034,96,617040,27034378000.0,2534145800.0,7527170000.0,16939708000.0,1.0612661,127.18065,6.943631,70.29998,3.5964355
4796,0.034,96,642237,24136376000.0,1691701800.0,3585503000.0,18843628000.0,0.18286116,118.44405,16.212105,63.43823,4.0784044
4826,0.034,96,652600,25250267000.0,2409354500.0,4849065000.0,17976971000.0,0.46514174,117.38619,12.937281,60.96208,4.260413
4951,0.034,96,684685,3559688400.0,211805820.0,530118300.0,2817764400.0,0.08988187,69.906296,16.994371,38.79616,2.0159981
4969,0.034,96,689018,7174105000.0,602481900.0,1207307100.0,5358289400.0,0.17560393,87.55245,23.30688,53.090973,2.2019465
5003,0.034,96,694135,20872708000.0,1145489200.0,3556836900.0,16155637000.0,0.20340768,114.10852,10.602554,58.464127,3.5581822
5225,0.034,96,734842,7405013000.0,358860480.0,728666500.0,6312972000.0,0.059585605,79.87937,12.911914,42.565887,2.780077
5240,0.034,96,737684,2439852800.0,126684040.0,350716200.0,1962452600.0,0.09266978,72.06289,16.532707,39.07665,1.3504809
5561,0.034,96,791164,729614140.0,55607428.0,145392300.0,528614400.0,0.035685986,59.5334,11.326573,31.976688,0.73703146
5720,0.049,95,276103,68201110000.0,3554049800.0,22049622000.0,42562760000.0,1.025202,171.15085,8.159663,85.73303,5.1191697
5815,0.049,95,424546,19718430000.0,1499925100.0,3532065800.0,14673246000.0,0.31897107,109.489975,13.26963,58.824787,3.8634806
5873,0.049,95,490299,1886944100.0,181824160.0,283533060.0,1421587000.0,0.064449914,60.236504,8.14863,36.224667,1.2482094
5877,0.049,95,493914,2660973600.0,206060750.0,348622900.0,2106290000.0,0.10007723,67.98251,10.345655,38.02595,1.6191446
5897,0.049,95,510660,181186270000.0,3759907600.0,55684956000.0,121568600000.0,0.9092294,244.27158,1.4886091,120.111374,6.8489366
5914,0.049,95,523140,10941279000.0,885032100.0,1345417000.0,8701946000.0,0.2271575,100.579544,15.470667,55.03102,2.8377736
5990,0.049,95,577879,22815844000.0,2544568300.0,4629531600.0,15626569000.0,0.7239372,113.18584,9.422816,57.714367,3.8712697
6015,0.049,95,589073,54292775000.0,2910445800.0,10995465000.0,40365720000.0,0.3682073,145.5318,15.331405,77.25322,5.5636353
