,z,Snapshot,SubhaloID,"M,M_{\odot}","$M_{gas},M_{\odot}$","$M_{stellar},M_{\odot}$","$M_{DM},M_{\odot}$",SFR($M_{\odot}/yr$),$V_{max}$(km/s),$R_{max}$(kpc),$\sigma_v$(km/s),$R_{1/2M_*}(kpc)$
11,1.074,48,20838,34906276000.0,3377347600.0,13649408000.0,17849470000.0,4.3248005,188.53546,1.9842774,97.55294,2.2666461
111,1.074,48,165378,9246265000.0,2034519800.0,2017487900.0,5188135000.0,1.9977087,111.47132,20.054989,65.41495,1.8170533
432,1.074,48,344009,9261810000.0,1789841500.0,2239760400.0,5224888300.0,1.3318555,106.5941,16.103716,65.14003,1.7726911
482,1.074,48,356631,30763760000.0,2910738200.0,13604157000.0,14209971000.0,4.720735,199.08864,2.3395305,94.10545,1.7161988
485,1.074,48,358316,19224610000.0,3851105000.0,2062240100.0,13305203000.0,1.6905111,140.65338,64.1292,90.54336,3.5314727
629,1.074,48,392662,8841372000.0,1291264800.0,1176950900.0,6367875000.0,0.8238058,105.344604,14.998689,62.036533,1.9291936
635,1.074,48,394655,22506017000.0,2918576000.0,4008649000.0,15569849000.0,2.3885174,134.30585,25.389748,78.69471,2.7320063
720,1.074,48,415095,42523374000.0,6533356500.0,4182076400.0,31801713000.0,2.2631476,133.6052,22.987421,75.89562,5.5685964
791,1.074,48,428574,38070270000.0,4274503000.0,4502361000.0,29284330000.0,1.7034487,133.88187,12.386594,74.55833,4.6636934
860,1.074,48,441381,5836235300.0,898759300.0,1693199500.0,3237026000.0,1.0257014,111.21317,43.003117,72.83243,1.1281041
907,1.074,48,450550,23884930000.0,2744350700.0,3344780500.0,17785491000.0,1.3413085,129.27989,7.2229385,70.71701,3.1027288
1001,1.074,48,471712,7313094700.0,1259796000.0,1269803100.0,4778402000.0,1.6414284,120.16381,28.068253,74.749405,1.6726594
1091,1.074,48,495625,8002742300.0,938606200.0,641380740.0,6420509700.0,0.42552355,96.80115,14.637611,56.988716,2.111048
1185,1.074,48,557603,4810993700.0,635652160.0,217819710.0,3955759600.0,0.22559203,79.0394,17.310768,44.657204,2.1488984
1328,1.114,47,179565,68187832000.0,12420930000.0,19239062000.0,36497080000.0,17.335402,193.32008,6.8522286,115.42864,3.961419
1426,1.114,47,247342,12128658000.0,1351624600.0,777828000.0,9999206000.0,0.5365922,95.8783,8.482698,55.412724,2.9100015
1709,1.114,47,362556,15599030000.0,2256450600.0,4511371000.0,8819920000.0,2.4080842,134.64116,3.2044024,73.127464,1.860374
1752,1.114,47,372880,18366530000.0,1521786000.0,8236056600.0,8578072600.0,3.3134334,177.23645,1.7713488,87.55414,1.3058052
1861,1.114,47,396497,11381753000.0,1295084900.0,1472905900.0,8605298000.0,0.87013525,123.54378,35.438652,77.84007,2.128397
1920,1.114,47,410775,28561345000.0,3703046400.0,8930566000.0,15901538000.0,3.3261297,156.81004,4.070191,83.13499,2.5435786
1974,1.114,47,421032,18405247000.0,3293679600.0,1350955400.0,13757586000.0,1.3953267,113.63883,26.28028,67.84523,3.9008508
