,z,Snapshot,SubhaloID,"M,M_{\odot}","$M_{gas},M_{\odot}$","$M_{stellar},M_{\odot}$","$M_{DM},M_{\odot}$",SFR($M_{\odot}/yr$),$V_{max}$(km/s),$R_{max}$(kpc),$\sigma_v$(km/s),$R_{1/2M_*}(kpc)$
106,2.577,28,52007,28039692000.0,4635849700.0,3179586000.0,20217117000.0,4.2084656,147.44608,5.9493856,93.50672,2.7812688
181,2.577,28,76251,10780547000.0,3020075300.0,4483696000.0,3266519300.0,10.737872,161.07446,1.4490973,97.04657,0.90495366
292,2.577,28,107683,50675003000.0,11040343000.0,10993122000.0,28622766000.0,23.607233,216.06143,26.26421,136.8892,2.4383237
340,2.577,28,118658,66940076000.0,13505569000.0,11017142000.0,42404400000.0,21.061186,207.91556,5.4360466,125.97353,3.345637
368,2.577,28,123902,55550788000.0,9368418000.0,643940030.0,45538427000.0,1.0435925,112.06474,26.54711,67.85363,10.069868
412,2.577,28,132699,14409355000.0,2704716300.0,1388619100.0,10312745000.0,2.9684317,132.33783,14.170846,77.89018,1.8761485
469,2.577,28,144281,20927060000.0,3249535700.0,4118110500.0,13550678000.0,10.273525,181.64046,38.867825,115.33814,1.8522931
571,2.577,28,164439,37661737000.0,6307411000.0,1580773100.0,29770746000.0,2.245585,148.55786,43.632504,100.11839,4.9953856
575,2.577,28,165244,13520401000.0,2097631600.0,6265338400.0,5140037600.0,6.833891,190.1542,0.7609769,110.40751,0.847103
585,2.577,28,167472,26575663000.0,4253807000.0,3904497700.0,18413023000.0,4.553363,156.27121,5.1851654,84.349396,2.3576083
586,2.577,28,167586,19713745000.0,3602081800.0,1872088000.0,14234019000.0,3.655359,152.50452,35.603813,98.01588,2.3423817
739,2.577,28,197232,46389633000.0,4585553400.0,1009188160.0,40792695000.0,2.3401434,157.19562,31.773785,101.475914,6.21646
792,2.577,28,204450,20469377000.0,4065402400.0,2521077200.0,13877375000.0,4.257643,151.02515,19.248678,90.86229,2.1139889
818,2.577,28,208868,36491112000.0,5576072000.0,2438937000.0,28472578000.0,3.3818667,148.17508,8.7908535,85.928825,3.615115
840,2.577,28,212315,9779256000.0,2022165800.0,1274919700.0,6478136000.0,3.4380527,130.9573,12.952509,75.74848,1.3922145
970,2.577,28,235642,9867953000.0,1588541600.0,1109024600.0,7166468000.0,2.1130908,128.78534,25.928333,76.09646,1.6079019
999,2.577,28,243661,61780340000.0,9865086000.0,430299870.0,51483406000.0,1.2371815,122.7469,26.824352,77.40261,9.403162
1009,2.577,28,247158,14109520000.0,2126476400.0,852893250.0,11128126000.0,1.5938134,125.63518,23.191088,77.06621,2.3818793
1035,2.577,28,255087,33176375000.0,3534708500.0,100063500.0,29541605000.0,0.24437158,97.503914,28.600792,67.68768,8.538583
1041,2.577,28,257061,9670823000.0,1365626400.0,508630660.0,7794906600.0,0.8371582,123.83838,25.929247,78.785484,2.055161
1100,2.577,28,270972,8509577700.0,1558909600.0,460774460.0,6488118000.0,0.8768203,101.85828,20.724003,60.1233,2.0939527
1101,2.577,28,271222,11815158000.0,1652543900.0,884957250.0,9275935000.0,1.5141182,120.28754,21.161325,72.92413,1.9904467
1143,2.577,28,288594,3406637800.0,501929600.0,137310110.0,2767398400.0,0.32164672,69.8762,5.7185216,43.102848,1.5589513
1158,2.577,28,295400,3896172500.0,625651300.0,186873140.0,3082298400.0,0.43788356,97.70828,18.484589,62.617264,1.3850895
1245,2.577,28,340678,8192939000.0,1189508400.0,230814460.0,6772616700.0,0.47275278,90.1696,16.512182,54.799194,2.4892015
1246,2.577,28,340860,4554043400.0,699792700.0,156672430.0,3697578500.0,0.44044146,85.20111,15.261825,52.672356,1.7730509
1388,2.733,27,38265,39322750000.0,8817531000.0,10108091000.0,20380922000.0,27.238844,257.51913,54.46333,182.39484,1.9410937
1472,2.733,27,64420,56254546000.0,2458067500.0,41183896000.0,12546084000.0,41.049084,502.10403,0.33444414,175.18935,0.72821707
1499,2.733,27,71674,291158920000.0,45442044000.0,1967092900.0,243749770000.0,10.314614,192.71019,42.922382,133.69514,17.027983
1528,2.733,27,79309,22862598000.0,5415313000.0,2411259100.0,15032614000.0,6.5782166,150.21838,21.00224,87.97839,2.5806608
1563,2.733,27,87900,19758715000.0,3698339800.0,3465724000.0,12586921000.0,6.574265,152.22725,6.186263,90.26838,1.8770891
1596,2.733,27,97863,48395416000.0,9859418000.0,4368665000.0,34162557000.0,9.283607,164.9961,32.742565,100.6175,4.151266
1699,2.733,27,120596,23100530000.0,5584923600.0,2718254000.0,14793035000.0,8.0443945,171.9185,26.727339,110.34206,2.0001855
1767,2.733,27,134654,30190592000.0,6181339000.0,3115454200.0,20887300000.0,12.592352,176.38892,33.08886,112.756454,2.5392594
1900,2.733,27,160158,32729330000.0,5417108500.0,2195131000.0,25114855000.0,3.896345,159.43204,20.676636,94.29215,3.1023724
1961,2.733,27,171244,11769777000.0,2176820200.0,1846911100.0,7739549700.0,3.09502,149.94904,37.416122,96.762535,1.3765035
1982,2.733,27,174587,10801741000.0,1950441500.0,822534340.0,8026317300.0,1.6830771,119.68038,18.708271,72.25549,1.877461
2053,2.733,27,186066,29371988000.0,5587399700.0,1084680600.0,22697748000.0,2.6072369,146.54619,21.318197,88.62822,3.9150963
2137,2.733,27,198387,6340122000.0,1372972800.0,1213842700.0,3749305300.0,2.298905,131.91705,24.92671,80.82759,0.9867248
2208,2.733,27,210791,38367056000.0,5726706000.0,320514800.0,32318530000.0,1.0889446,116.10138,22.78106,74.87653,6.8986735
2278,2.733,27,223122,8258482000.0,1619086100.0,1117783000.0,5518008300.0,2.1181972,137.1635,14.744043,86.60832,1.2899815
2359,2.733,27,240552,11301779000.0,1817825000.0,1445085200.0,8035392500.0,1.9495922,130.57544,11.872423,77.821945,1.5345783
2386,2.733,27,248212,14220981000.0,2005979000.0,425065540.0,11788328000.0,0.9676123,120.643486,17.287926,77.51823,2.7141345
2414,2.733,27,256857,3220475400.0,500228740.0,171191420.0,2547785000.0,0.45930073,88.01814,20.344694,53.414326,1.2482398
2435,2.733,27,263498,7860441000.0,1103283800.0,221548460.0,6534399500.0,0.46643606,98.31356,14.573226,61.054897,2.4099882
2445,2.733,27,266202,14875834000.0,1704069900.0,204604130.0,12967160000.0,0.7312759,117.53929,12.070771,76.806076,2.6690867
