,z,Snapshot,SubhaloID,"M,M_{\odot}","$M_{gas},M_{\odot}$","$M_{stellar},M_{\odot}$","$M_{DM},M_{\odot}$",SFR($M_{\odot}/yr$),$V_{max}$(km/s),$R_{max}$(kpc),$\sigma_v$(km/s),$R_{1/2M_*}(kpc)$
4,1.496,40,8,69655480000.0,14188507000.0,11963965000.0,43489310000.0,10.651829,176.15533,10.249521,97.69257,4.837149
5,1.496,40,9,47305760000.0,8891233000.0,11775208000.0,26617663000.0,16.046005,179.57486,1.9610264,114.30484,3.3413084
25,1.496,40,15229,12108274000.0,1807239700.0,2057352000.0,8237763600.0,1.4490442,111.56991,6.835246,61.526203,2.1432369
176,1.496,40,146376,117339370000.0,13763719000.0,54087782000.0,49301800000.0,27.087957,408.0207,0.004817461,176.09854,2.5358377
213,1.496,40,168300,2013550300.0,759037400.0,520351520.0,734161500.0,1.5071137,76.78892,0.7028501,42.121273,0.814484
260,1.496,40,190980,18417764000.0,2847831300.0,374021150.0,15194147000.0,0.92425764,98.89614,12.268595,58.25671,4.3667474
337,1.496,40,221561,28591360000.0,2389409300.0,16642689000.0,9464239000.0,10.0566,309.22232,0.49372378,141.10454,0.8681161
631,1.496,40,309648,15839547000.0,2650183400.0,2905332700.0,10275084000.0,3.7419093,154.91887,38.648937,102.047844,1.9128083
733,1.496,40,331731,6338055000.0,1102005100.0,789201500.0,4444898300.0,0.71500456,82.18796,4.0398664,50.60049,2.0179293
766,1.496,40,338413,18217605000.0,3715523000.0,1375647700.0,13123249000.0,4.2509065,136.0562,44.10759,88.69951,2.5608914
789,1.496,40,342544,16622679000.0,2358046700.0,1185540700.0,13075607000.0,1.4839108,125.75062,19.827538,76.18339,2.7761865
899,1.496,40,361562,19764808000.0,2527202000.0,6141759500.0,11072316000.0,3.423568,158.71863,3.7710774,84.63936,1.6915455
939,1.496,40,371195,19486802000.0,3123508000.0,1772955900.0,14586127000.0,2.087289,127.122894,16.424387,70.799286,2.9650178
977,1.496,40,378181,7072792600.0,1436787300.0,675671550.0,4958085600.0,1.0507516,101.88291,40.474674,61.549763,2.5091498
1031,1.496,40,388890,11383254000.0,1022480060.0,4681194500.0,5655493000.0,2.847638,169.10457,1.0283417,76.90056,0.89975727
1074,1.496,40,398745,24677917000.0,3345514200.0,1386355000.0,19940332000.0,2.1858723,122.29133,11.796245,68.64382,3.752693
1106,1.496,40,405595,12494759000.0,2147648500.0,2142661500.0,8197833700.0,2.182056,115.465065,4.1095247,67.20184,2.0179152
1146,1.496,40,419411,2486871600.0,392532100.0,167732940.0,1926606700.0,0.24091665,59.509823,3.5309715,35.79785,1.5217022
1200,1.496,40,433904,4546253300.0,935463000.0,712591040.0,2895354600.0,0.9006209,100.93872,27.158834,63.211548,1.2321978
1217,1.496,40,443054,10401731000.0,1708495600.0,1124667800.0,7565765000.0,1.119942,104.554,4.556789,58.141136,2.049931
1267,1.496,40,506476,6045805600.0,868544200.0,429260350.0,4748001300.0,0.44985944,89.24585,10.0137825,50.926495,1.7764571
1309,1.531,39,15234,14280943000.0,1826795800.0,437333150.0,12015201000.0,0.50794435,101.08309,16.876535,59.89512,3.3967662
1340,1.531,39,50692,22610969000.0,3078775800.0,3144391200.0,16381148000.0,2.0512087,129.64435,13.999682,80.2984,2.9545465
1407,1.531,39,113777,165149690000.0,14706595000.0,86699870000.0,63453237000.0,32.16048,524.8238,0.45040318,194.75574,2.5416028
1423,1.531,39,124400,1483161900.0,441261570.0,295941400.0,745958800.0,0.47616017,60.381516,1.4489875,31.685028,0.88728493
1450,1.531,39,141980,30048938000.0,5591852000.0,2672327700.0,21780273000.0,3.2706785,129.16217,6.707173,76.16663,3.886357
1533,1.531,39,185395,94270840000.0,12870952000.0,25592902000.0,55735013000.0,17.62218,258.75095,0.418725,145.66132,4.0663733
1563,1.531,39,197945,85149155000.0,11672045000.0,41157964000.0,32202826000.0,29.918545,326.80823,0.49040532,142.47601,2.0023322
1694,1.531,39,243875,50529850000.0,8334491000.0,12825714000.0,29338780000.0,7.9289885,187.6908,8.566851,102.932526,3.1642942
1960,1.531,39,312512,26221783000.0,6291228000.0,3419740200.0,16505473000.0,6.3383746,150.68109,25.392366,94.09171,2.9840102
2045,1.531,39,330910,30025470000.0,4582046000.0,3559506700.0,21875560000.0,2.365143,135.08586,7.835111,76.04179,3.559652
2060,1.531,39,333607,86374170000.0,15164264000.0,2549553700.0,68656345000.0,4.2078657,145.25887,24.624014,84.77302,9.055067
2124,1.531,39,344802,25744530000.0,6050122000.0,4876464600.0,14810278000.0,6.07164,144.34775,14.235214,82.11072,2.8484335
2136,1.531,39,347312,14491732000.0,2499144200.0,1817779200.0,10167999000.0,1.9944919,126.683525,17.161367,71.81828,2.24392
2265,1.531,39,371457,24271557000.0,4613717000.0,1480697600.0,18173897000.0,2.2627137,126.67018,25.017279,73.848404,3.8042617
2275,1.531,39,373382,9016962000.0,1597729300.0,1216521200.0,6202711000.0,1.4738414,116.23571,18.646196,67.93839,2.0960882
2402,1.531,39,400938,16827367000.0,3005649000.0,2095858700.0,11721174000.0,1.9145074,126.95878,16.524492,74.999855,2.469779
2478,1.531,39,423576,14696228000.0,2387640600.0,1355699500.0,10950712000.0,1.4918605,109.51532,9.639568,63.45238,2.7008443
2678,1.604,38,88123,1196002600.0,753710500.0,439569500.0,2722477.5,2.3575282,75.396935,0.6904658,27.096315,0.48830792
2696,1.604,38,97120,191973050000.0,18238153000.0,87199470000.0,86224490000.0,43.392727,500.91388,0.5557355,216.27477,3.3817282
2772,1.604,38,142568,23053183000.0,3549478100.0,4722012000.0,14767625000.0,3.0796688,151.69252,25.774027,91.27439,2.409742
2776,1.604,38,144528,46762242000.0,2165302000.0,33143407000.0,11297374000.0,21.001778,440.95078,0.4154029,138.17175,0.7631843
3266,1.604,38,306750,17482015000.0,3893685200.0,2203391200.0,11380409000.0,4.96808,130.00322,15.629503,75.52779,2.324762
3427,1.604,38,338904,3138637600.0,483659360.0,196127140.0,2458850800.0,0.26955748,83.5493,17.04652,51.809547,1.3872914
3655,1.604,38,385313,28106019000.0,4081985800.0,1167279100.0,22853384000.0,1.2191521,117.65835,14.670515,66.02777,4.657533
3862,1.604,38,500143,4812590000.0,641735740.0,350311260.0,3820543500.0,0.46089888,86.992256,18.403194,51.685154,1.5347021
3884,1.667,37,9248,127276966000.0,18788407000.0,52174660000.0,56181500000.0,54.27046,374.68942,0.44238958,165.09453,3.212275
3918,1.667,37,40465,44649220000.0,8826161000.0,7719395000.0,28094153000.0,7.6358504,166.12971,6.7567058,95.447945,3.4830883
3933,1.667,37,58749,192164510000.0,17575602000.0,75248590000.0,99149455000.0,29.095457,443.268,0.5281292,214.15932,4.245825
4041,1.667,37,134131,109616860000.0,11344995000.0,56153630000.0,41958820000.0,31.066307,468.59048,0.47340775,169.87802,2.2716632
4337,1.667,37,249938,34883370000.0,5896131000.0,1245163100.0,27738870000.0,1.9487852,130.03264,19.173727,78.85488,5.121813
4368,1.667,37,259704,34330591000.0,6420004000.0,8263808500.0,19633598000.0,7.915151,169.89926,13.617942,100.74864,2.620122
4530,1.667,37,296371,27385627000.0,4494233000.0,5810070000.0,17059497000.0,8.039334,162.08208,30.5823,99.546265,2.3098834
4586,1.667,37,306834,18914978000.0,2750372600.0,1211456900.0,14950031000.0,1.3014206,114.21804,12.171624,66.87863,3.284484
4656,1.667,37,320959,21967649000.0,3531687200.0,6217587700.0,12203506000.0,5.4885087,160.33461,4.268301,89.71708,1.8539066
4745,1.667,37,339816,20590565000.0,3350826500.0,1471506300.0,15764506000.0,1.6640853,125.605095,16.636917,71.80039,3.2808716
4873,1.667,37,364005,11962238000.0,1263151200.0,4344834000.0,6335205400.0,2.8479617,159.06442,1.663424,76.00196,1.0360681
4984,1.667,37,396838,8094180400.0,1224630900.0,1390487000.0,5473541000.0,1.2909379,114.73927,13.069956,69.39652,1.484946
5165,1.744,36,50724,14998684000.0,2719422500.0,2189023500.0,10085872000.0,2.705884,124.93626,3.1529605,72.12173,2.0919406
5284,1.744,36,129686,26507760000.0,3856186000.0,12548417000.0,10055925000.0,9.868064,263.8504,0.29404068,119.58145,1.183215
5359,1.744,36,158969,35999044000.0,7165874000.0,6093736400.0,22730873000.0,5.9061356,155.64183,6.409191,92.38283,3.1969025
5466,1.744,36,199423,15186132000.0,2721424600.0,3983702500.0,8465998000.0,5.933865,151.14824,58.974476,93.09118,1.609324
5530,1.744,36,221514,84982240000.0,12773836000.0,13947999000.0,58234704000.0,9.109548,197.68156,8.208571,108.084526,4.705233
5673,1.744,36,260778,22384835000.0,3752876500.0,9644290000.0,8966935000.0,8.664607,189.5258,1.7847958,98.547264,1.375901
5860,1.744,36,299175,42332467000.0,7005162500.0,3967531800.0,31353868000.0,3.5861435,148.23265,15.96715,84.037796,4.2630906
5970,1.744,36,321226,10526624000.0,1919349400.0,709095800.0,7896092000.0,0.89551157,132.60815,40.630722,87.17518,2.9589267
6090,1.744,36,342799,17515416000.0,3231884000.0,1795801100.0,12483921000.0,2.3768349,129.09477,18.700506,75.17379,2.626086
6188,1.744,36,364413,22026375000.0,3207309600.0,248018930.0,18569566000.0,0.5227164,107.343475,34.242416,70.87978,5.5651097
6214,1.744,36,372230,14085336000.0,2603340000.0,921960700.0,10560037000.0,1.1259012,102.17237,8.778442,55.335255,3.0012538
6719,1.823,35,197800,55252300000.0,9698952000.0,7031718000.0,38513980000.0,8.248576,172.38173,17.150438,109.59553,4.0556583
7138,1.823,35,296490,19730403000.0,3410670600.0,1839384400.0,14474052000.0,2.0914729,132.66112,25.898602,78.55553,2.826231
7141,1.823,35,296872,11460719000.0,2231827000.0,1341188500.0,7883841500.0,2.131546,138.18327,32.92192,89.075935,1.8584402
7149,1.823,35,298298,10613176000.0,1713575000.0,611256300.0,8286767600.0,0.7770727,119.510796,34.65349,76.50639,2.659864
7274,1.823,35,323279,15954543000.0,2212790300.0,1265261000.0,12471216000.0,1.3809935,122.27171,11.39439,68.17137,2.5281477
7385,1.823,35,348222,14155822000.0,2448534000.0,824260860.0,10880381000.0,1.7941833,131.9449,17.486519,83.41157,2.4176493
7753,1.904,34,121132,5509897000.0,764775600.0,911077500.0,3829164800.0,1.1288624,111.17569,13.653482,68.30458,1.1392231
7845,1.904,34,153156,19282883000.0,2579222000.0,9381170000.0,7288526300.0,12.513171,241.53195,0.2886338,112.22877,0.97666514
8059,1.904,34,217739,51822640000.0,13415851000.0,1726812000.0,36678128000.0,7.8380885,163.61304,40.465195,112.52359,5.4668636
8130,1.904,34,233876,71827366000.0,11321841000.0,8247244300.0,52249338000.0,7.1635003,179.62013,11.846,100.91181,4.8780284
8163,1.904,34,242223,15346827000.0,1641943900.0,8309944300.0,5346492400.0,8.684597,229.57681,0.4156065,93.48155,0.72804743
8357,1.904,34,282792,16798752000.0,2807893800.0,946836100.0,13040668000.0,2.096665,138.6602,37.538933,88.78097,3.0784612
8365,1.904,34,284138,6857336300.0,1460219300.0,520252260.0,4876864500.0,0.68880606,94.560684,16.769047,56.029346,2.2234197
8412,1.904,34,293163,23388050000.0,4755819000.0,2101266800.0,16526801000.0,3.6342585,129.8415,23.31193,74.070045,3.2942233
8479,1.904,34,308894,10086667000.0,1364272300.0,695579460.0,8024503000.0,0.99831295,109.68306,24.504675,65.34333,2.440216
9036,2.002,33,128689,32716763000.0,5114798600.0,9631544000.0,17949295000.0,10.292863,194.6369,5.8350406,113.23226,1.8754795
9059,2.002,33,135798,9722697000.0,1856295700.0,771623500.0,7092507600.0,1.0344748,89.081345,4.8139887,55.703312,2.641146
9126,2.002,33,158964,29989081000.0,4680268000.0,13480741000.0,11795134000.0,20.157578,231.69899,0.87773126,119.89964,1.3381333
