,z,Snapshot,SubhaloID,"M,M_{\odot}","$M_{gas},M_{\odot}$","$M_{stellar},M_{\odot}$","$M_{DM},M_{\odot}$",SFR($M_{\odot}/yr$),$V_{max}$(km/s),$R_{max}$(kpc),$\sigma_v$(km/s),$R_{1/2M_*}(kpc)$
24,2.103,32,23894,51113510000.0,4306822700.0,41273324000.0,5427712500.0,163.38464,600.88214,0.42482796,182.17139,0.3943756
37,2.103,32,31235,29780388000.0,4124499500.0,1450777200.0,24201464000.0,1.8544331,130.94586,12.24904,73.32827,3.834248
60,2.103,32,51522,32453767000.0,6425346000.0,2164455400.0,23859792000.0,3.6576152,136.37535,10.879004,78.882065,3.83362
77,2.103,32,61244,28321745000.0,3035890000.0,11414547000.0,13838807000.0,8.354147,208.26837,2.215203,113.43696,1.4368752
101,2.103,32,73301,5838085000.0,1868968300.0,1944652900.0,2015087100.0,8.512847,136.92029,0.2892427,72.86715,0.7680249
130,2.103,32,90532,4691588600.0,1049810240.0,546643500.0,3093642000.0,1.2128048,80.2465,6.4088616,51.601276,1.6047945
149,2.103,32,99291,27701877000.0,3706320400.0,6380971000.0,17601270000.0,7.765959,165.6475,2.9870121,95.11422,2.2595236
270,2.103,32,138399,55594440000.0,10916262000.0,10310789000.0,34340422000.0,12.366361,192.60718,7.8500032,112.99704,3.2681792
299,2.103,32,146223,20391117000.0,2219574500.0,8951864000.0,9185185000.0,7.343437,206.18825,1.8478194,117.353874,1.0389647
321,2.103,32,155837,68474400000.0,14261243000.0,16152309000.0,38043447000.0,24.73716,223.81607,4.4184546,137.86157,3.0270126
663,2.103,32,233851,1491607900.0,423075070.0,420283070.0,644773440.0,0.9189514,81.75107,0.9272275,45.366066,0.48410055
706,2.103,32,242517,9478359000.0,1319269400.0,1470059500.0,6684136000.0,1.6046357,134.56456,27.847223,86.74767,1.5662178
804,2.103,32,260384,14094103000.0,3015493000.0,1375989000.0,9698373000.0,2.3115327,139.13676,26.566357,89.5155,2.2498164
815,2.103,32,262333,13555618000.0,2137881300.0,3096395000.0,8309909000.0,3.0269372,143.03426,4.2025194,81.12351,1.4471616
