,z,Snapshot,SubhaloID,"M,M_{\odot}","$M_{gas},M_{\odot}$","$M_{stellar},M_{\odot}$","$M_{DM},M_{\odot}$",SFR($M_{\odot}/yr$),$V_{max}$(km/s),$R_{max}$(kpc),$\sigma_v$(km/s),$R_{1/2M_*}(kpc)$
20529,0.733,58,550181,8151984600.0,1152317400.0,956540500.0,6038455300.0,0.49097613,94.32223,18.557093,54.3997,2.2639177
20530,0.733,58,550359,8989515000.0,1014887000.0,630747500.0,7341161000.0,0.2889391,91.64801,40.59154,55.863537,2.5633852
20867,0.757,57,176620,92277730000.0,14632230000.0,20160164000.0,57428394000.0,8.377498,187.98483,13.387579,110.422264,5.682281
21333,0.757,57,421785,52001320000.0,5598060500.0,6121508000.0,40270430000.0,1.8103431,141.96333,31.404457,79.77517,6.4309754
21498,0.757,57,459122,4695263000.0,823217300.0,672931650.0,3195281000.0,0.30202308,65.46918,4.632493,41.873474,2.3605328
21637,0.757,57,485152,10595838000.0,907088450.0,1379207400.0,8303103000.0,0.7225882,113.870125,21.886326,65.38834,2.2532637
22044,0.757,57,557067,11429252000.0,1981143000.0,272452580.0,9175656000.0,0.1844693,79.45566,20.694235,44.679527,4.7039366
22772,0.791,56,408720,13110904000.0,1500622300.0,717735400.0,10889457000.0,0.38457373,95.784,23.513302,57.22385,3.8541214
22845,0.791,56,426503,5289630700.0,918134900.0,684823040.0,3682150700.0,0.64510894,94.13622,12.523232,57.75735,1.473814
22902,0.791,56,438411,11479166000.0,1675274600.0,2504279300.0,7293517300.0,1.0729475,104.36845,3.8858967,54.41207,2.2833598
22929,0.791,56,444815,73853850000.0,11382948000.0,14539977000.0,47914246000.0,6.457725,169.67879,9.933079,87.96648,5.5556083
22968,0.791,56,452020,23247770000.0,2810452500.0,6061653500.0,14360161000.0,1.9042192,139.76056,22.589584,80.73347,2.6792858
23014,0.791,56,461503,8186527000.0,1229541600.0,1242682800.0,5709943000.0,0.6114655,93.76917,12.89631,56.267563,2.0746534
