,z,Snapshot,SubhaloID,"M,M_{\odot}","$M_{gas},M_{\odot}$","$M_{stellar},M_{\odot}$","$M_{DM},M_{\odot}$",SFR($M_{\odot}/yr$),$V_{max}$(km/s),$R_{max}$(kpc),$\sigma_v$(km/s),$R_{1/2M_*}(kpc)$
430,0.059,94,445977,73010610000.0,6736719000.0,19705170000.0,46525325000.0,2.11131,168.0998,14.787875,103.9952,5.584672
486,0.059,94,469413,225209200000.0,15800158000.0,65191840000.0,143961880000.0,5.182674,313.03632,0.011223835,122.17374,9.041131
1747,0.059,94,676288,29807958000.0,3622791000.0,2179486000.0,24000907000.0,0.31908265,100.6483,17.226717,52.689342,6.572853
2317,0.059,94,720294,6809530000.0,641604800.0,765520200.0,5397765600.0,0.1638946,80.728355,11.698308,43.66116,2.4571855
3722,0.074,93,458026,12719273000.0,895316860.0,2358686700.0,9457887000.0,0.18551454,96.26625,8.207261,52.048904,3.0209756
5780,0.074,93,733211,1714219300.0,223433150.0,174083180.0,1314956700.0,0.07638028,60.750202,13.543298,32.317017,1.3129125
6050,0.074,93,752843,2439057200.0,216002380.0,515153860.0,1707900900.0,0.12235088,74.09696,6.4643908,38.884594,1.0268878
6826,0.084,92,376363,42998830000.0,3440918300.0,5807308000.0,33738756000.0,0.4342137,124.959946,22.016356,71.7557,6.3059616
7157,0.084,92,523481,108165020000.0,5152292000.0,40217117000.0,62698200000.0,2.1006086,210.61183,1.9123935,105.39705,5.278267
7176,0.084,92,529870,19569891000.0,1625579300.0,5152854500.0,12768873000.0,0.51852006,120.29641,12.175615,65.488396,3.115833
8644,0.084,92,701814,14511958000.0,1877992200.0,826774460.0,11803301000.0,0.18826638,87.36612,19.364183,46.478348,4.4446363
8946,0.084,92,725967,1865463600.0,218315780.0,112577830.0,1534569900.0,0.041851204,58.11392,15.652082,32.581738,1.7875869
9130,0.084,92,740901,2623326000.0,267366160.0,619926660.0,1736033200.0,0.15136038,76.72562,4.778296,40.191338,0.97808355
11293,0.099,91,651460,30481066000.0,2336020700.0,2040798100.0,26098123000.0,0.12580025,104.13498,20.70588,55.10045,6.532972
11857,0.099,91,697627,5107659000.0,570191600.0,686387840.0,3845499400.0,0.19385108,77.4802,16.44387,42.74926,1.9658058
12083,0.099,91,716071,3136977700.0,135177630.0,314480900.0,2684362800.0,0.04987497,74.45391,11.877704,40.724472,1.3277464
15378,0.11,90,725766,1549964000.0,73615576.0,252789180.0,1221484900.0,0.06253494,70.578766,15.421504,38.580772,0.9937905
15380,0.11,90,725812,5114764300.0,608871100.0,1212602600.0,3293290500.0,0.3626276,87.537094,4.427153,42.681522,1.474396
16470,0.126,89,439952,8413310500.0,752842300.0,2499691300.0,5145936400.0,0.39341623,100.803825,3.7900305,59.722416,1.7873907
