,Snapshot,SubhaloID,$z$
0,28,1,2.577
1,28,3,2.577
2,28,4,2.577
3,28,6,2.577
4,28,12,2.577
5,28,31,2.577
6,28,5876,2.577
7,28,5877,2.577
8,28,5880,2.577
9,28,5888,2.577
10,28,9442,2.577
11,28,9443,2.577
12,28,9444,2.577
13,28,9445,2.577
14,28,9446,2.577
15,28,9448,2.577
16,28,9449,2.577
17,28,9450,2.577
18,28,9452,2.577
19,28,9459,2.577
20,28,9460,2.577
21,28,14525,2.577
22,28,14526,2.577
23,28,14527,2.577
24,28,14528,2.577
25,28,14530,2.577
26,28,14533,2.577
27,28,14542,2.577
28,28,14546,2.577
29,28,17952,2.577
30,28,17953,2.577
31,28,17954,2.577
32,28,17955,2.577
33,28,19831,2.577
34,28,19832,2.577
35,28,19834,2.577
36,28,19835,2.577
37,28,19836,2.577
38,28,22404,2.577
39,28,22405,2.577
40,28,22406,2.577
41,28,22407,2.577
42,28,22408,2.577
43,28,22409,2.577
44,28,22411,2.577
45,28,22412,2.577
46,28,24779,2.577
47,28,24781,2.577
48,28,27090,2.577
49,28,27091,2.577
50,28,27092,2.577
51,28,27094,2.577
52,28,27109,2.577
53,28,28819,2.577
54,28,28822,2.577
55,28,31053,2.577
56,28,31054,2.577
57,28,31056,2.577
58,28,31057,2.577
59,28,32715,2.577
60,28,32716,2.577
61,28,32720,2.577
62,28,34267,2.577
63,28,34268,2.577
64,28,34270,2.577
65,28,34273,2.577
66,28,35457,2.577
67,28,35458,2.577
68,28,35459,2.577
69,28,35460,2.577
70,28,35461,2.577
71,28,35465,2.577
72,28,37464,2.577
73,28,37465,2.577
74,28,37466,2.577
75,28,37468,2.577
76,28,37473,2.577
77,28,39021,2.577
78,28,39026,2.577
79,28,40302,2.577
80,28,40303,2.577
81,28,40304,2.577
82,28,40307,2.577
83,28,41838,2.577
84,28,41839,2.577
85,28,41840,2.577
86,28,41842,2.577
87,28,43496,2.577
88,28,44459,2.577
89,28,44460,2.577
90,28,44462,2.577
91,28,46598,2.577
92,28,46599,2.577
93,28,46600,2.577
94,28,46601,2.577
95,28,46602,2.577
96,28,47903,2.577
97,28,47904,2.577
98,28,47905,2.577
99,28,47906,2.577
100,28,49009,2.577
101,28,50017,2.577
102,28,50018,2.577
103,28,50988,2.577
104,28,52005,2.577
105,28,52006,2.577
106,28,52007,2.577
107,28,52838,2.577
108,28,53598,2.577
109,28,53599,2.577
110,28,53600,2.577
111,28,53601,2.577
112,28,53603,2.577
113,28,53610,2.577
114,28,54774,2.577
115,28,54777,2.577
116,28,55784,2.577
117,28,56395,2.577
118,28,56396,2.577
119,28,57166,2.577
120,28,57167,2.577
121,28,58018,2.577
122,28,58019,2.577
123,28,58591,2.577
124,28,59439,2.577
125,28,59443,2.577
126,28,60223,2.577
127,28,60224,2.577
128,28,60225,2.577
129,28,60922,2.577
130,28,60923,2.577
131,28,60924,2.577
132,28,61627,2.577
133,28,62339,2.577
134,28,63025,2.577
135,28,63026,2.577
136,28,63027,2.577
137,28,63936,2.577
138,28,63937,2.577
139,28,63938,2.577
140,28,63940,2.577
141,28,64755,2.577
142,28,64756,2.577
143,28,64757,2.577
144,28,65495,2.577
145,28,65496,2.577
146,28,66334,2.577
147,28,66335,2.577
148,28,67079,2.577
149,28,67080,2.577
150,28,67082,2.577
151,28,67704,2.577
152,28,67705,2.577
153,28,68340,2.577
154,28,68341,2.577
155,28,68344,2.577
156,28,68346,2.577
157,28,69113,2.577
158,28,69906,2.577
159,28,69907,2.577
160,28,69908,2.577
161,28,69910,2.577
162,28,69911,2.577
163,28,70629,2.577
164,28,71203,2.577
165,28,71851,2.577
166,28,71852,2.577
167,28,71853,2.577
168,28,71857,2.577
169,28,72737,2.577
170,28,72738,2.577
171,28,73289,2.577
172,28,73290,2.577
173,28,73291,2.577
174,28,74045,2.577
175,28,74688,2.577
176,28,74689,2.577
177,28,75224,2.577
178,28,75225,2.577
179,28,75226,2.577
180,28,76250,2.577
181,28,76251,2.577
182,28,76749,2.577
183,28,76750,2.577
184,28,76751,2.577
185,28,77207,2.577
186,28,77208,2.577
187,28,77626,2.577
188,28,77627,2.577
189,28,78156,2.577
190,28,78157,2.577
191,28,78760,2.577
192,28,79303,2.577
193,28,79817,2.577
194,28,80281,2.577
195,28,80282,2.577
196,28,80776,2.577
197,28,81131,2.577
198,28,81132,2.577
199,28,81586,2.577
200,28,81587,2.577
201,28,82019,2.577
202,28,82020,2.577
203,28,82507,2.577
204,28,82817,2.577
205,28,82818,2.577
206,28,82819,2.577
207,28,83841,2.577
208,28,84649,2.577
209,28,84650,2.577
210,28,85137,2.577
211,28,85138,2.577
212,28,85142,2.577
213,28,85703,2.577
214,28,85704,2.577
215,28,86184,2.577
216,28,86701,2.577
217,28,86702,2.577
218,28,87128,2.577
219,28,87129,2.577
220,28,87130,2.577
221,28,87437,2.577
222,28,87439,2.577
223,28,87915,2.577
224,28,87917,2.577
225,28,88409,2.577
226,28,88410,2.577
227,28,88662,2.577
228,28,88963,2.577
229,28,88964,2.577
230,28,89572,2.577
231,28,90161,2.577
232,28,90635,2.577
233,28,90636,2.577
234,28,91066,2.577
235,28,91517,2.577
236,28,91902,2.577
237,28,92328,2.577
238,28,92329,2.577
239,28,92788,2.577
240,28,92790,2.577
241,28,92791,2.577
242,28,92796,2.577
243,28,93734,2.577
244,28,93735,2.577
245,28,93736,2.577
246,28,94184,2.577
247,28,94185,2.577
248,28,94600,2.577
249,28,94601,2.577
250,28,95877,2.577
251,28,96333,2.577
252,28,96753,2.577
253,28,96754,2.577
254,28,97135,2.577
255,28,97527,2.577
256,28,97528,2.577
257,28,97937,2.577
258,28,97938,2.577
259,28,98402,2.577
260,28,98782,2.577
261,28,98783,2.577
262,28,99160,2.577
263,28,99161,2.577
264,28,99649,2.577
265,28,100537,2.577
266,28,100538,2.577
267,28,100546,2.577
268,28,101003,2.577
269,28,101004,2.577
270,28,101006,2.577
271,28,101413,2.577
272,28,101414,2.577
273,28,101416,2.577
274,28,101961,2.577
275,28,102307,2.577
276,28,102733,2.577
