z,Snapshot,SubhaloID,"M,M_{\odot}","$M_{gas},M_{\odot}$","$M_{stellar},M_{\odot}$","$M_{DM},M_{\odot}$",SFR($M_{\odot}/yr$),$V_{max}$(km/s),$R_{max}$(kpc),$\sigma_v$(km/s),$R_{1/2M_*}(kpc)$
2.577,28,1,110216830000.0,11063225000.0,66220300000.0,32789520000.0,87.98954,607.3764,0.30731964,228.33707,1.2857345
2.577,28,3,28872430000.0,4258927900.0,4575485400.0,20031082000.0,4.434462,157.6996,5.859429,92.27102,2.5046284
2.577,28,4,14582762000.0,2700203000.0,1230733300.0,10648064000.0,2.5333152,125.972084,19.715204,77.2448,2.2371027
2.577,28,6,32016753000.0,6945002500.0,6696464400.0,18364924000.0,12.3538685,168.58257,4.2102137,102.25008,2.4818182
2.577,28,12,8467341000.0,2772803000.0,1059973950.0,4634564600.0,5.586609,112.03322,2.739948,65.971466,1.4606023
2.577,28,31,2961784300.0,534357920.0,203616110.0,2223810600.0,0.6966711,71.27187,1.9091563,44.886497,1.2693987
2.577,28,5876,55761785000.0,11773158000.0,8449852400.0,35523793000.0,19.306042,196.63925,5.2209525,114.62873,3.1416228
2.577,28,5877,24961393000.0,3116364300.0,9865361000.0,11948046000.0,8.449535,225.90813,1.4318217,118.25873,1.1024317
2.577,28,5880,16295219000.0,3838335200.0,1902572800.0,10551868000.0,4.9668627,125.356804,3.6712582,73.26215,2.2847714
2.577,28,5888,4360467000.0,756774660.0,260767170.0,3341387300.0,1.1180142,77.50716,3.273895,51.03855,1.56706
2.577,28,9442,31733803000.0,3192479200.0,14355143000.0,14131927000.0,11.4650755,263.96533,0.30086088,124.546844,1.2931374
2.577,28,9443,31767235000.0,5382788600.0,8615790000.0,17752822000.0,10.75759,198.40164,2.899203,103.23538,1.7506812
2.577,28,9444,35489180000.0,4632605700.0,6500224000.0,24347570000.0,8.213854,180.13109,12.132221,111.40694,2.4653742
2.577,28,9445,17187117000.0,3647366700.0,1503738600.0,12032897000.0,3.1597703,124.47204,13.805423,73.17512,2.492309
2.577,28,9446,18521717000.0,3043626800.0,1359737600.0,14115592000.0,2.0221136,127.586136,10.197083,74.27754,2.5742774
2.577,28,9448,28385192000.0,6155952000.0,830375400.0,21397314000.0,2.5009425,97.82732,14.237326,59.8661,6.455574
2.577,28,9449,6924043000.0,1275099300.0,525694620.0,5123249000.0,0.93529844,101.70954,12.029106,62.816193,1.5742773
2.577,28,9450,20374710000.0,3338829300.0,238194400.0,16797685000.0,0.74914706,89.69168,13.304665,54.770535,5.5609193
2.577,28,9452,8730424000.0,1293060500.0,597399900.0,6838410000.0,1.246399,102.05538,7.492857,63.02814,1.9499854
2.577,28,9459,3516574000.0,507527700.0,360982900.0,2648063000.0,0.71240515,71.08488,4.0000725,44.807976,1.5458415
2.577,28,9460,2702270200.0,678666560.0,769032900.0,1249617200.0,2.4253216,103.549416,0.6923326,57.71131,0.566783
2.577,28,14525,24030314000.0,3852706300.0,14676479000.0,5467642400.0,43.04378,315.72705,0.35669705,151.37024,0.695714
2.577,28,14526,27245535000.0,4929526300.0,8801511000.0,13493052000.0,15.012876,203.39476,3.2299008,128.32207,1.4271483
2.577,28,14527,76273620000.0,14768067000.0,4592408600.0,56908853000.0,25.587395,193.46948,16.103865,131.56578,4.6482353
2.577,28,14528,21150988000.0,3948126200.0,3275105500.0,13923658000.0,4.478118,153.28677,6.171092,94.472725,1.9954357
2.577,28,14530,21145770000.0,3343778800.0,741401100.0,17058592000.0,1.1760722,116.52978,15.102486,66.48859,3.63352
2.577,28,14533,6998712000.0,1426975700.0,759411800.0,4810164000.0,1.8053211,103.672386,8.721409,64.64967,1.4720085
2.577,28,14542,3350147300.0,1104325200.0,647511100.0,1594918100.0,4.022262,111.0086,1.0586491,66.483376,0.5904533
2.577,28,14546,1723845400.0,494002940.0,391342900.0,835800640.0,1.0753163,77.60222,0.6408955,44.004223,0.64697623
