,Snapshot,SubhaloID,$z$
0,48,9,1.074
1,48,10,1.074
2,48,11,1.074
3,48,12,1.074
4,48,15,1.074
5,48,17,1.074
6,48,19,1.074
7,48,20,1.074
8,48,21,1.074
9,48,23,1.074
10,48,26,1.074
11,48,27,1.074
12,48,30,1.074
13,48,34,1.074
14,48,37,1.074
15,48,50,1.074
16,48,51,1.074
17,48,54,1.074
18,48,66,1.074
19,48,72,1.074
20,48,142,1.074
21,48,162,1.074
22,48,204,1.074
23,48,272,1.074
24,48,20830,1.074
25,48,20835,1.074
26,48,20836,1.074
27,48,20837,1.074
28,48,20838,1.074
29,48,20847,1.074
30,48,20848,1.074
31,48,20851,1.074
32,48,20855,1.074
33,48,20858,1.074
34,48,20860,1.074
35,48,20863,1.074
36,48,20866,1.074
37,48,20878,1.074
38,48,37659,1.074
39,48,37660,1.074
40,48,37661,1.074
41,48,37664,1.074
42,48,37671,1.074
43,48,37672,1.074
44,48,37673,1.074
45,48,37674,1.074
46,48,37675,1.074
47,48,37676,1.074
48,48,37677,1.074
49,48,37678,1.074
50,48,37691,1.074
51,48,37697,1.074
52,48,37712,1.074
53,48,50936,1.074
54,48,50937,1.074
55,48,50940,1.074
56,48,50941,1.074
57,48,50942,1.074
58,48,50943,1.074
59,48,50946,1.074
60,48,50948,1.074
61,48,50949,1.074
62,48,50955,1.074
63,48,50959,1.074
64,48,50964,1.074
65,48,50965,1.074
66,48,50970,1.074
67,48,50974,1.074
68,48,50976,1.074
69,48,50977,1.074
70,48,51006,1.074
71,48,64765,1.074
72,48,64767,1.074
73,48,64769,1.074
74,48,64770,1.074
75,48,64771,1.074
76,48,64774,1.074
77,48,64775,1.074
78,48,64776,1.074
79,48,64781,1.074
80,48,64783,1.074
81,48,64791,1.074
82,48,64802,1.074
83,48,64805,1.074
84,48,73921,1.074
85,48,73924,1.074
86,48,73925,1.074
87,48,73927,1.074
88,48,73928,1.074
89,48,73930,1.074
90,48,73937,1.074
91,48,81224,1.074
92,48,81226,1.074
93,48,81228,1.074
94,48,81230,1.074
95,48,81232,1.074
96,48,81233,1.074
97,48,81234,1.074
98,48,81235,1.074
99,48,81236,1.074
100,48,81238,1.074
101,48,81239,1.074
102,48,81241,1.074
103,48,81242,1.074
104,48,81243,1.074
105,48,81245,1.074
106,48,81246,1.074
107,48,81247,1.074
108,48,81248,1.074
109,48,81249,1.074
110,48,81252,1.074
111,48,81254,1.074
112,48,81255,1.074
113,48,81256,1.074
114,48,81259,1.074
115,48,81260,1.074
116,48,81264,1.074
117,48,81265,1.074
118,48,81266,1.074
119,48,81267,1.074
120,48,81281,1.074
121,48,87976,1.074
122,48,87977,1.074
123,48,87978,1.074
124,48,87979,1.074
125,48,87983,1.074
126,48,87986,1.074
127,48,87993,1.074
128,48,87996,1.074
129,48,94121,1.074
130,48,94122,1.074
131,48,94123,1.074
132,48,94125,1.074
133,48,94128,1.074
134,48,94129,1.074
135,48,94131,1.074
136,48,94134,1.074
137,48,94135,1.074
138,48,94138,1.074
139,48,94139,1.074
140,48,94143,1.074
141,48,98845,1.074
142,48,98846,1.074
143,48,98847,1.074
144,48,98850,1.074
145,48,98851,1.074
146,48,98853,1.074
147,48,98856,1.074
148,48,103478,1.074
149,48,103479,1.074
150,48,103480,1.074
151,48,103483,1.074
152,48,103485,1.074
153,48,103486,1.074
154,48,103487,1.074
155,48,103488,1.074
156,48,106848,1.074
157,48,106849,1.074
158,48,106851,1.074
159,48,106852,1.074
160,48,106853,1.074
161,48,106855,1.074
162,48,111091,1.074
163,48,111092,1.074
164,48,111094,1.074
165,48,111095,1.074
166,48,111096,1.074
167,48,114892,1.074
168,48,114894,1.074
