z,Snapshot,SubhaloID,"M,M_{\odot}","$M_{gas},M_{\odot}$","$M_{stellar},M_{\odot}$","$M_{DM},M_{\odot}$",SFR($M_{\odot}/yr$),$V_{max}$(km/s),$R_{max}$(kpc),$\sigma_v$(km/s),$R_{1/2M_*}(kpc)$
1.667,37,270897,29282351000.0,6253559300.0,2952666000.0,20070103000.0,9.924738,172.06265,43.665432,107.18941,3.6160264
1.667,37,270898,3575664600.0,356946270.0,623518340.0,2591798500.0,0.34138152,79.45072,1.9929386,47.47153,1.2409966
1.667,37,270899,1646787000.0,350389630.0,376199970.0,920197400.0,0.43346393,72.0559,1.3499179,42.579006,0.68384695
1.667,37,271128,28573288000.0,5723312000.0,3864929500.0,18975216000.0,3.9785194,161.01726,48.96923,99.32474,3.4395406
1.667,37,271130,3272411000.0,429219500.0,530503040.0,2308207400.0,0.39321217,80.05459,2.1481876,49.633904,1.0987792
1.667,37,271336,94574920000.0,13114281000.0,7387863600.0,74056830000.0,4.8626547,169.6323,19.544409,95.1386,7.315455
1.667,37,271564,33671074000.0,4129707000.0,7086736400.0,22440930000.0,3.3902915,155.82176,11.050461,97.16562,3.0052867
1.667,37,271565,3086149000.0,520525020.0,514691100.0,2050933000.0,0.3204144,71.18604,2.7713168,43.840153,1.3189149
1.667,37,271809,80647460000.0,14606283000.0,8912343000.0,57121660000.0,9.630316,174.85516,13.168408,97.56213,5.719303
1.667,37,271810,1947666800.0,258792640.0,120273384.0,1568600700.0,0.15754527,65.29948,6.1546903,37.11847,1.0700964
1.667,37,272021,26179336000.0,5275816000.0,3910708700.0,16982815000.0,4.3413143,141.05096,8.554551,77.37486,2.9103029
1.667,37,272022,7400877000.0,1030463100.0,1227768700.0,5136861700.0,1.2483733,117.18864,3.5673184,70.55618,1.18898
1.667,37,272282,182375840000.0,30733113000.0,846903100.0,150794390000.0,0.7868276,132.75117,64.45412,80.77671,23.956629
1.667,37,272284,1913466800.0,268451200.0,133586950.0,1511428700.0,0.11233489,64.981094,9.167457,40.33791,1.2365675
1.667,37,272593,23534467000.0,3408799500.0,10661970000.0,9439283000.0,6.8997774,188.63777,2.1470156,99.34975,1.4352877
1.667,37,273068,1337896400.0,441543330.0,254755860.0,641597200.0,0.6811678,65.10238,1.0015752,34.166912,0.6968999
1.667,37,273228,25554156000.0,4032643600.0,4003412700.0,17504623000.0,4.0380797,154.29295,42.621517,94.73118,2.541344
1.667,37,273229,2031952000.0,677242100.0,371781000.0,980091900.0,1.0318975,78.92298,2.1026351,48.82403,0.7365301
1.667,37,273415,23499567000.0,3910804700.0,8270413000.0,11295559000.0,9.670136,186.73352,2.2798033,100.52668,1.4931237
1.667,37,273720,11742788000.0,1766349600.0,4504114000.0,5455845000.0,3.9164696,154.32846,1.7682284,93.81134,1.0700084
1.667,37,273721,5827992600.0,897666800.0,665111500.0,4265214700.0,0.7550166,94.68613,4.786112,56.627518,1.4291185
1.667,37,274005,43044730000.0,4830351400.0,13633566000.0,24542228000.0,5.463629,195.14728,5.2226367,101.48462,2.4335876
1.667,37,274171,6964178000.0,930192000.0,479055840.0,5553400000.0,0.33374056,85.159615,8.006365,53.392456,2.2141056
1.667,37,274429,25527610000.0,4178941400.0,6241830000.0,15088878000.0,4.768527,167.23755,6.8535275,91.16954,2.091813
1.667,37,274430,14091322000.0,2160837400.0,1855715100.0,10068176000.0,1.608702,127.27877,9.8594055,73.94812,2.1235862
1.667,37,274582,42720375000.0,7255866400.0,675780600.0,34788725000.0,0.99244994,105.40662,52.973766,68.77453,10.486339
1.667,37,274583,4480214500.0,465881200.0,155675250.0,3858658000.0,0.14059748,73.683914,19.670193,43.96534,2.2145362
1.667,37,275009,2797233400.0,345443330.0,265640430.0,2186149600.0,0.15921116,75.84068,13.427884,46.995464,1.2951978
1.667,37,275204,33915730000.0,5461668400.0,6390193000.0,22055698000.0,4.7541494,153.0703,6.2039647,87.497955,3.1137135
1.667,37,275205,16081440000.0,3065373200.0,1267603200.0,11746129000.0,1.3185248,107.361465,13.0905285,63.23507,3.2306776
1.667,37,275419,37478334000.0,4008692200.0,14146671000.0,19267879000.0,6.9931507,217.02478,3.5799818,112.0352,1.7123901
1.667,37,275562,34449703000.0,3082363000.0,12532656000.0,18797800000.0,4.972483,223.84433,0.40414158,105.15917,1.7878624
1.667,37,275722,78018970000.0,14428484000.0,7802352600.0,55778570000.0,9.644904,174.591,24.756031,100.154305,5.7866445
1.667,37,275851,24863308000.0,2587454200.0,6313325000.0,15945098000.0,2.3099916,168.8079,9.961581,105.08261,2.1981282
1.667,37,276123,18595686000.0,2516499200.0,9022511000.0,7027622000.0,7.673511,207.49179,0.46971506,91.46544,1.0425624
1.667,37,276401,30602994000.0,4917961700.0,10492723000.0,15170553000.0,8.421004,188.90424,4.0134296,104.87149,1.8514556
1.667,37,276588,12433698000.0,1636477200.0,3254612700.0,7532188000.0,2.8966277,148.09357,54.07299,94.39086,1.6853408
1.667,37,276589,6517320000.0,889496800.0,1085065300.0,4537916400.0,0.9209495,109.127014,3.1927426,68.37067,1.2022374
1.667,37,276749,19034483000.0,1001749200.0,10304118000.0,7679655400.0,3.093699,232.68906,0.4643923,102.24337,0.9396644
1.667,37,276945,7027147300.0,833415740.0,788328450.0,5402756600.0,0.98003715,102.12511,9.084981,62.441425,1.7022572
1.667,37,277149,57092400000.0,8795737000.0,12495948000.0,35782885000.0,6.6803403,180.09105,10.1887865,97.37061,3.901552
1.667,37,277404,40376754000.0,6284701700.0,2909719800.0,31177357000.0,3.0437741,159.32268,25.35422,102.92693,4.1107507
1.667,37,277406,17339486000.0,3927448000.0,3156141000.0,10251036000.0,3.8985493,133.26302,3.6319432,79.99019,2.1322186
1.667,37,277621,27762315000.0,4457719000.0,7273187000.0,16017697000.0,9.373405,171.33609,3.261224,95.61849,2.0766501
1.667,37,277622,8071684000.0,1078978000.0,466927780.0,6525778400.0,0.23409684,82.40991,9.250514,50.45042,2.7926307
1.667,37,277623,1271278300.0,125098870.0,167902580.0,978276900.0,0.091790944,68.96189,5.3208895,40.413414,0.7143085
1.667,37,277849,23607276000.0,4524922400.0,3486701800.0,15583007000.0,3.6994045,154.64552,19.514938,90.26791,2.5004508
1.667,37,278107,24025367000.0,4182987500.0,6042190000.0,13784357000.0,5.7908792,164.16687,36.660526,103.39727,1.9190869
1.667,37,278312,39690120000.0,6598455000.0,2864635600.0,30218594000.0,3.5957673,144.84293,50.837307,88.32825,4.5112915
